台文,台羅,中文,英文
彼間餐廳的電火點甲光炎炎，煞無幾个人客來交關。,"Hit king tshan-thiann ê tiān-hué tiám kah kng-iām-iām, suah bô kuí ê lâng-kheh lâi kau-kuan.",那家餐廳的電燈點得那麼光亮耀眼，卻沒有幾個客人上門消費。,"The lights in that restaurant are so bright and dazzling, but there are not many customers coming in."
棒球場下昏暗的電火點甲光映映，檢采閣有精彩的比賽通好看矣。,"Pāng-kiû-tiûnn ē-hng-àm ê tiān-hué tiám kah kng-iànn-iànn, kiám-tshái koh ū tsing-tshái ê pí-sài thang-hó khuànn--ah.",棒球場今晚燈火通明，也許又有精彩的賽事可以觀賞了。,"The baseball field is brightly lit tonight, maybe there will be another exciting game to watch."
熱人下晡，若是熱翕翕閣烏天暗地，連鞭就會落大雨。,"Jua̍h--lâng ē-poo, nā-sī jua̍h-hip-hip koh oo-thinn-àm-tē, liâm-mi tō ē lo̍h tuā-hōo.",夏天午後，若是非常悶熱又烏雲密佈，馬上就會下大雨了。,"In the hot and humid summer afternoons, if it is cloudy and overcast, it will immediately rain heavily."
伊有影好狗運，連行路都抾會著錢，提去買彩券嘛閣予伊著大獎。,"I ū-iánn hó-káu-ūn, liân kiânn-lōo to khioh ē tio̍h tsînn, the̍h-khì bé tshái-kuàn mā koh hōo i tio̍h tuā-tsióng.",他運氣真是好，連走路都撿得到錢，拿去買彩券還中大獎。,"He is really lucky, even picking up money while walking, and using it to buy lottery tickets and winning the jackpot."
精肉豉好，滒魚漿落去煠，就是咱咧食的肉羹。,"Tsiann-bah sīnn hó, kō hî-tsiunn lo̍h-khì sa̍h, tō sī lán teh tsia̍h ê bah-kenn.",瘦肉醃過，裹魚漿在熱水裡煮熟，就是我們吃的肉羮。,"Marinated lean meat, wrapped in fish paste and cooked in hot water, is what we eat as meat porridge."
油蔥粿搵蒜茸豆油食著上合味。,Iû-tshang-kué ùn suàn-jiông tāu-iû tsia̍h tio̍h siōng ha̍h-bī.,油蔥粿蘸蒜泥醬油吃起來最對味。,Dipping scallion pancakes in garlic sauce and soy sauce tastes the best.
不管彼間餐廳的菜單閣較按怎換，我都感覺𪜶的菜毋捌合味過。,"Put-kuán hit king tshan-thiann ê tshài-tuann koh-khah án-tsuánn uānn, guá to kám-kak in ê tshài m̄ bat ha̍h-bī--kuè.",無論那家餐廳再怎麼改換菜單，我總覺得他們的菜從未對味過。,"No matter how the restaurant changes its menu, I always feel that their dishes have never been to my taste."
伊真愛耍，風颱天走去海墘仔𨑨迌，去予湧絞落海，險險仔無命。,"I tsin ài sńg, hong-thai-thinn tsáu-khì hái-kînn-á tshit-thô, khì hōo íng ká lo̍h hái, hiám-hiám-á bô-miā.",他很愛玩，颱風天跑到海邊玩，被浪捲入海裡，差一點丟了性命。,"He loves to play. On a typhoon day, he ran to the seaside to play and got swept into the sea by the waves, almost losing his life."
種作的收入真僫得料，定定大出的時會有物賣無價。,"Tsìng-tsoh ê siu-ji̍p tsin oh-tit liāu, tiānn-tiānn tuā-tshut ê sî ē ū mi̍h bē bô-kè.",務農的收入難以預期，常常盛產時擔心有東西卻賣不到好價錢。,"The income from farming is difficult to predict, often worrying about having something but not being able to sell it at a good price."
莫看水毋值錢，若洘旱一下久，水就是無價寶。,"Mài khuànn tsuí m̄ ta̍t-tsînn, nā khó-huānn tsi̍t-ē kú, tsuí tō sī bô-kè-pó.",別以為水不值錢，如果旱災時間拉長，水就是無價之寶。,"Don't think water is worthless, if the drought lasts longer, water becomes priceless."
青苔仔是一種細隻鳥仔，佇都市的公園抑是學校攏看會著伊的影跡。,"Tshenn-tî-á sī tsi̍t tsióng sè tsiah tsiáu-á, tī too-tshī ê kong-hn̂g ia̍h-sī ha̍k-hāu lóng khuànn ē tio̍h i ê iánn-tsiah.",綠繡眼是一種小型鳥，在都市的公園或學校均可發現牠的蹤跡。,Green-backed tit is a small bird that can be found in urban parks or schools.
厝內頭喙若濟，生活壓力加減會較重,"Tshù-lāi thâu-tshuì nā tsē, sing-ua̍h ap-li̍k ke-kiám ē khah tāng.",家中人口多的話，生活壓力難免比較重。,"If there are many people in the family, the pressure of life is inevitably heavier."
以早臺灣捌有幾若間報社出暗報，毋過到尾仔賰無半間。,"Í-tsá Tâi-uân bat ū kuí-nā king pò-siā tshut àm-pò, m̄-koh kàu bué--á  tshun bô puànn king.",以前臺灣曾有好幾家報社發行晚報，但後來只剩下一家。,"In the past, Taiwan used to have several newspapers publishing evening editions, but later only one remained."
火鍋湯燒燙燙，若欲啉著愛細膩。,"Hué-ko thng sio-thǹg-thǹg, nā beh lim tio̍h-ài sè-jī.",火鍋湯很燙，想喝的話要小心。,"The hot pot soup is very hot, be careful if you want to drink it."
所在無夠闊，物件愛相疊才袂鎮位。,"Sóo-tsāi bô-kàu khuah, mi̍h-kiānn ài sio-tha̍h tsiah bē tìn-uī.",地方不夠寬敞，東西要疊起來才不會占地方。,"The place is not spacious enough, things need to be stacked up in order not to take up space."
雖罔電子產品普及，咱人消磨紙的量都也無較減，猶原咧增加。,"Sui-bóng tiān-tsú sán-phín phóo-ki̍p, lán-lâng siau-môo tsuá ê liōng to iā bô khah kiám, iu-guân teh tsing-ka.",即使電子產品普及了，我們消耗紙張的數量並沒有減少，仍然在增加。,"Even though electronic products have become popular, our consumption of paper has not decreased, but is still increasing."
回收若做了好，就會當減少資源的消磨。,"Huê-siu nā tsò liáu hó, tō ē-tàng kiám-tsió tsu-guân ê siau-môo.",如果回收做得好，就能減少資源的消耗。,"If recycling is done well, it can reduce resource consumption."
阿爸退休了後定定佇公園佮人泡茶、行棋咧消磨時間。,"A-pah thè-hiu liáu-āu tiānn-tiānn tī kong-hn̂g kah lâng phàu tê, kiânn-kî teh siau-môo sî-kan.",父親退休後常常在公園和人泡茶、下棋來打發時間。,"After retiring, my father often spends his time in the park, making tea and playing chess with people."
趁秋天的流擺來去烏來𨑨迌，通看著規山坪誠媠款的楓仔葉當咧轉紅的光景。,"Thàn tshiu-thinn ê lâu-pái lâi-khì U-lai tshit-thô, thang khuànn-tio̍h kui-suann-phiânn tsiânn suí-khuán ê png-á-hio̍h tng-teh tńg âng ê kong-kíng.",趁著秋天的時候去烏來遊玩，可看到整片山坡上的楓葉正在變紅的美景。,"During the autumn season, go to Wulai for sightseeing and you can see the beautiful scenery of maple leaves turning red on the entire hillside."
臺北一月時仔不時烏寒，罕得出日。,"Tâi-pak it-gue̍h-sî-á put-sî oo-kuânn, hán-tit tshut-ji̍t.",臺北的一月常常是陰天寒冷的，難得晴朗。,"In Taipei, January is often cold and cloudy, rarely sunny."
討海人攏佇十二月到二月上烏寒的時陣去海墘撈鰻仔栽。,Thó-hái-lâng lóng tī tsa̍p-jī--gue̍h kàu jī--gue̍h siōng oo-kuânn ê sî-tsūn khì hái-kînn hôo muâ-á-tsai.,漁民都在十二月到二月最寒冷的時候去海濱撈捕鰻魚苗。,Fishermen go to the seaside to catch eel fry during the coldest time from December to February.
逐年十月中旬是臺東洛神花大出的流擺。,Ta̍k-nî tsa̍p-gue̍h tiong-sûn sī Tâi-tang lo̍k-sîn-hue tuā-tshut ê lâu-pái.,每年十月中旬是臺東洛神花盛產的季節。,Every mid-October is the season when Taitung produces a large amount of blooming roses.
洛神花泡茶，食著酸微仔酸微，誠濟人愛啉。,"Lo̍k-sîn-hue phàu tê, tsia̍h tio̍h sng-bui-á-sng-bui, tsiânn tsē lâng ài lim.",洛神花泡茶，喝起來有點酸酸的，很多人愛喝。,"Lotus flower tea is a little sour when drunk, and many people love to drink it."
硞硞傱,kho̍k-kho̍k tsông,一直跑來跑去,Running back and forth
硞硞踅,kho̍k-kho̍k se̍h,一直在原地打轉,Continuously spinning in place.
硞硞等,kho̍k-kho̍k tán,一直枯等,Keep waiting.
硞硞唸,kho̍k-kho̍k liām,喋喋不休地叨念,Endlessly nagging
硞硞輾,kho̍k-kho̍k liàn,一直滾動著,Continuously rolling
這站仔定定歹天，幾若工無出日矣。,"Tsit-tsām-á tiānn-tiānn pháinn-thinn, kuí-nā kang bô tshut-ji̍t--ah.",這陣子天氣不好，好幾天沒出太陽了。,"The weather has been bad recently, and the sun hasn't come out for several days."
冰櫥內底有一鼎綠豆湯，你去𣁳一碗來食。,"Ping-tû lāi-té ū tsi̍t tiánn li̍k-tāu-thng, lí khì khat tsi̍t uánn lâi tsia̍h.",冰箱裡有一鍋綠豆湯，你去盛一碗來吃。,"In the refrigerator, there is a pot of green bean soup. Go and serve yourself a bowl to eat."
貨船若倚岸，工人就隨走過去運搬。,"Huè-tsûn nā uá-huānn, kang-lâng tō suî tsáu kuè-khì ūn-puann.",貨船如果靠岸，工人就馬上跑去搬運貨物。,"If the cargo ship docks, the workers immediately run to unload the goods."
古早交通無利便，若欲臺灣頭尾踅一輾，著盤山過嶺行幾若個月。,"Kóo-tsá kau-thong bô lī-piān, nā beh Tâi-uân thâu-bué se̍h tsi̍t liàn, tio̍h puânn-suann-kuè-niá kiânn kuí-nā kò gue̍h.",以前交通不方便，若要臺灣環島一周，需要翻山越嶺走好幾個月。,"Before, transportation was inconvenient. If you wanted to travel around Taiwan, you needed to cross mountains and walk for several months."
塗水師共用賰的磚仔角載去糞埽場倒挕捒。,Thôo-tsuí-sai kā iōng tshun ê tsng-á-kak tsài-khì pùn-sò-tiûnn tò-hìnn-sak.,泥水匠把用過剩餘的破磚塊載去垃圾場丟棄。,The bricklayer took the surplus broken bricks to the landfill and discarded them.
這項代誌愛留予組長家己來決定，你袂使僭權。,"Tsit hāng tāi-tsì ài lâu hōo tsoo-tiúnn ka-kī lâi kuat-tīng, lí bē-sái tsiàm-khuân.",這件事情要留給組長自己來決定，你不可以越權。,"This matter should be left for the team leader to decide, you cannot exceed your authority."
七里香的枝椏耐剪閣𠢕發新穎，種來做圍籬仔上合。,"Tshit-lí-hiong ê ki-ue nāi tsián koh gâu huat sin ínn, tsìng lâi tsò uî-lî-á siōng ha̍h.",七里香的枝葉耐修剪且易萌芽，最適合做綠籬。,"The branches and leaves of the Seven Scented Orchid are resistant to pruning and easy to sprout, making it the most suitable for making hedges."
七里香的果黃黃閣芳芳，定定有鳥仔會飛來啄。,"Tshit-lí-hiong ê kó n̂g-n̂g koh phang-phang, tiānn-tiānn ū tsiáu-á ē pue lâi tok.",七里香的果實黃黃香香的，常吸引小鳥飛來啄食。,"The fruit of the seven-mile fragrance is yellow and fragrant, often attracting birds to come and peck."
透早有出日，毋過阿義顛倒講會變天，千拄千下晡一點真正摔大雨。,"Thàu-tsá ū tshut-ji̍t, m̄-koh A-gī tian-tò kóng ē piàn-thinn, tshian-tú-tshian ē-poo tsi̍t tiám tsin-tsiànn siàng-tuā-hōo.",早上出太陽，但是阿義卻說天氣會轉壞，果然到下午一點就下起豪雨來。,"The sun came out in the morning, but Ah Yi said the weather would turn bad. Sure enough, it started pouring rain at one o'clock in the afternoon."
雨若落會齊勻，山頭的柴樹仔看著就青蘢蘢。,"Hōo nā lo̍h ē tsiâu-ûn, suann-thâu ê tshâ-tshiū-á khuànn tio̍h tō tshenn-lìng-lìng.",雨如果下得均勻，山坡上的樹木看起來就非常青翠。,"If the rain falls evenly, the trees on the hillside look very lush."
若欲治荔枝欉頂懸的臭腥龜仔，用雪文水共噴，不止仔有應效。,"Nā beh tī nāi-tsi tsâng tíng-kuân ê tshàu-tshènn-ku-á, iōng sap-bûn-tsuí kā phùn, put-tsí-á ū ìng-hāu.",想對付荔枝樹上的椿象，用肥皂水直接噴它相當有效。,"To deal with the leafhoppers on the lychee tree, spraying them directly with soapy water is quite effective."
坐著愛坐予好勢，跤按呢相袚袂看口得。,"Tsē tio̍h-ài tsē hōo hó-sè, kha án-ne sio-phua̍h bē-khuànn-kháu--tit.",坐得有坐相，雙腳這樣子交疊不好看。,"Sitting with a proper posture, crossing your legs like this is not good-looking."
你是腦筋相袚是無，一人千一，四个人煞算做三千四。,"Lí sī náu-kin sio-phua̍h sī--bô, tsi̍t lâng tshing it, sì ê lâng suah sǹg-tsò sann-tshing sì.",你是不是腦袋不靈光，一人一千一百，四個人竟然算成三千四百。,"Are you stupid? One thousand one hundred per person, and yet four people calculated it as three thousand four hundred."
畫地形圖的三角點石杙仔攏會𫞼佇山尖。,Uē tē-hîng-tôo ê sann-kak-tiám tsio̍h-khi̍t-á lóng ē tshāi tī suann-tsiam.,繪製地形圖的三角點石柱都會佇立在山峰頂。,"Drawing topographic maps, the stone pillars of the triangulation points will stand on the peaks of the mountains."
傳統建築的山尖攏會做一寡好吉兆抑是辟邪的造作。,Thuân-thóng kiàn-tio̍k ê suann-tsiam lóng ē tsò tsi̍t-kuá hó-kiat-tiāu ia̍h-sī phik-siâ ê tsō-tsok.,傳統建築的山牆頂端都會裝飾一些吉祥或避邪的造型。,Traditional architecture's gable ends are decorated with auspicious or warding-off-evil shapes.
伊不時都去有粉味的所在行踏，較加嘛致著歹囝症。,"I put-sî to khì ū hún-bī ê sóo-tsāi kiânn-ta̍h, khah-ke mā tì-tio̍h pháinn-kiánn-tsìng.",他經常出入色情場所，難怪會得到花柳病。,"He often visits pornographic venues, no wonder he contracted venereal disease."
你愛會記得吩咐剃頭師傅，毛繐莫閣鉸甲遐短矣。,"Lí ài ē-kì-tit huan-hù thì-thâu sai-hū, mn̂g-sui mài koh ka kah hiah té--ah.",你要記得叮囑理髮師，瀏海別再剪得那麼短了。,You must remember to remind the hairdresser not to cut your bangs so short again.
我這馬歲頭都食甲七、八十矣，鬢跤的毛繐攏齊白矣。,"Guá tsit-má huè-thâu to tsia̍h kah tshit, peh-tsa̍p--ah, pìn-kha ê mn̂g-sui lóng tsiâu pe̍h--ah.",我都活到七老八十了，鬢毛都已斑白。,"I have lived to be seventy or eighty years old, and my temples have turned white."
有真濟人會佇肉粽節彼工的正中晝，共生雞卵𫞼佇塗跤兜。,"Ū tsin tsē lâng ē tī Bah-tsàng-tseh hit kang ê tsiànn-tiong-tàu, kā tshenn ke-nn̄g tshāi tī thôo-kha-tau.",有很多人在端午節那天正午時分，把生雞蛋立在地上。,"At noon on the day of the Dragon Boat Festival, many people stood raw eggs on the ground."
伊是出名的生理虎，一寡細間的店攏去予伊接收去。,"I sī tshut-miâ ê sing-lí-hóo, tsi̍t-kuá sè king ê tiàm lóng khì hōo i tsiap-siu--khì.",他是有名的商場之虎，一些小店都被他併購了。,"He is a famous mall tycoon, some small shops have been acquired by him."
伊人破病蹛院，規个面仔白死殺，攏無血氣。,"I lâng phuà-pēnn tuà-īnn, kui-ê bīn-á pe̍h-sí-sat, lóng bô hueh-khì.",他人生病住院，整個臉蒼白無血色。,"He fell ill and was admitted to the hospital, his face pale and bloodless."
你一定有掩崁啥物代誌，才會一直佇遐奸臣仔笑。,"Lí it-tīng ū am-khàm siánn-mih tāi-tsì, tsiah ē it-ti̍t tī hia kan-sîn-á-tshiò.",你一定是隱瞞了什麼事情，才會一直在那裡奸笑。,"You must be hiding something, that's why you keep smirking over there."
伊替人坐罪，才會去內籬仔食免錢飯。,"I thè lâng tsē-tsuē, tsiah ē khì lāi-lî-á tsia̍h bián-tsînn-pn̄g.",他替人擔罪，才會去入監服刑。,"He takes the blame for others, only then will he go to prison to serve his sentence."
天拄拆箬，作穡人就已經起來巡田水矣。,"Thinn tú thiah-ha̍h, tsoh-sit-lâng tō í-king khí-lâi sûn-tshân-tsuí--ah.",天剛破曉，農民早就起來巡視田水了。,"Just at daybreak, the farmers had already gotten up to inspect the field water."
煮貢丸湯的時陣，摻一搣仔芹菜珠，不止仔合味。,"Tsú kòng-uân thng ê sî-tsūn, tsham tsi̍t-me-á khîn-tshài-tsu, put-tsí-á ha̍h-bī.",煮貢丸湯的時候，加一把芹菜珠，非常對味。,"When cooking meatball soup, adding a handful of celery leaves makes it very flavorful."
欲交論文彼站，伊苦無一工有四十八點鐘通用。,"Beh kau lūn-bûn hit-tsām, i khóo-bô tsi̍t kang ū sì-tsa̍p-peh tiám-tsing thang īng.",要交論文那陣子，他巴不得每天有四十八小時可用。,"During the period of submitting the paper, he wished he had 48 hours available every day."
天氣涼冷仔涼冷，出門愛加疊一領風幔。,"Thinn-khì liâng-líng-á-liâng-líng, tshut-mn̂g ài ke tha̍h tsi̍t niá hong-mua.",天氣有點冷，出門要多穿一件披風。,"The weather is a bit cold, so remember to wear an extra cloak when going out."
該當然開就愛開，做人毋通遐㾀屎。,"Kai-tong-jiân khai tō ài khai, tsò-lâng m̄-thang hiah khiap-sái.",錢該花的時候就得花，為人沒必要那麼吝嗇。,"Money should be spent when necessary, there is no need to be so stingy."
我用罐仔倒匼，掠著一隻虼蚻。,"Guá iōng kuàn-á tò-khap, lia̍h-tio̍h tsi̍t tsiah ka-tsua̍h.",我用罐子倒蓋抓到一隻蟑螂。,I caught a cockroach by flipping a can lid.
借人錢銀抑是物件，若有寫借字會較有憑據。,"Tsioh lâng tsînn-gîn ia̍h-sī mi̍h-kiānn, nā ū siá tsioh-jī ē khah ū pîn-kì.",借人錢財或物品，若能寫個借據比較有憑據。,"If you can borrow money or items from someone, it would be more reliable to write a promissory note."
布攄仔都烏汁汁矣，你閣提來攄塗跤。,"Pòo-lu-á to oo-tsiap-tsiap--ah, lí koh the̍h-lâi lu thôo-kha.",拖把都已經又黑又髒了，你還拿來拖地。,"The mop is already dirty and filthy, and you still use it to mop the floor."
臺南是臺灣烏麻仔的主要產地。,Tâi-lâm sī Tâi-uân oo-muâ-á ê tsú-iàu sán-tē.,臺南是臺灣黑芝麻的主要產地。,Tainan is the main production area of black sesame in Taiwan.
用烏麻仔去櫼的油，號做「烏麻油」。,"Iōng oo-muâ-á khì tsinn ê iû, hō-tsò “oo-muâ-iû”.",用黑芝麻榨的油，稱為「胡麻油」。,"Made from black sesame seeds, it is called ""sesame oil""."
我睏甲眠眠，若像有聽著人咧挵門的聲。,"Guá khùn kah bîn-bîn, ná-tshiūnn ū thiann-tio̍h lâng teh lòng mn̂g ê siann.",我半睡半醒，好像聽到有人在敲門。,"I was half asleep and half awake, as if I heard someone knocking on the door."
人年歲一下濟，新陳代謝變較慢，身軀加減會有臭老羶。,"Lâng nî-huè tsi̍t-ē tsē, sin-tîn-tāi-siā piàn khah bān, sin-khu ke-kiám ē ū tshàu-lāu-hiàn.",人一上了年紀，新陳代謝變慢，身上多少會有點老人味。,"As soon as people get older, their metabolism slows down, and they start to have a bit of an old person smell."
這聲銃子去彈著肚臍空，穩死的！,"Tsit-siann tshìng-tsí khì tuānn-tio̍h tōo-tsâi-khang, ún sí--ê!",這下子子彈正中肚臍眼，必死無疑！,"This bullet hit the bullseye, certain death!"
冊若無欲閣看就綴手共囥起去冊櫥仔。,Tsheh nā bô beh koh khuànn tō tuè-tshiú kā khǹg khí-khì tsheh-tû-á.,書若不再看了就順手放上書櫃去。,"If you're done reading a book, just put it back on the bookshelf."
伊講話理路誠明。,I kóng-uē lí-lōo tsiânn bîng.,他說話條理分明。,He speaks clearly and logically.
你講著真有理路。,Lí kóng tio̍h tsin ū lí-lōo.,你說得很有道理。,You make a lot of sense.
臺灣民間會佇厝後壁囥一盆仔蓮蕉向望會當添丁。,Tâi-uân bîn-kan ē tī tshù āu-piah khǹg tsi̍t-phûn-á liân-tsiau ǹg-bāng ē-tàng thiam-ting.,臺灣民間會在房屋後面放一盆蓮蕉祈求生男丁。,Taiwanese people will put a pot of banana plants behind the house to pray for a son.
老師教的道理著愛記入心，毋通按呢激皮皮當做馬耳東風。,"Lāu-su kà ê tō-lí tio̍h-ài kì ji̍p-sim, m̄-thang án-ne kik-phî-phî tòng-tsò má-ní-tong-hong.",老師教的道理要聽得進去，不要毫不在乎當成馬耳東風。,The teacher's teachings should be listened to and not ignored like a deaf ear.
老師見若問問題，伊就激槌槌，假做攏袂曉。,"Lāu-su kiàn-nā mn̄g būn-tê, i tō kik-thuî-thuî, ké-tsò lóng bē-hiáu.",老師每次問問題，他都裝傻，假裝完全不懂。,"Every time the teacher asks a question, he pretends to be dumb and acts like he doesn't understand at all."
這間冰果室賣的霜仔真衛生。,Tsit king ping-kó-sik bē ê sng-á tsin uē-sing.,這間冰果室賣的冰很衛生。,The ice sold at this ice fruit shop is very hygienic.
橋咧起造是萬年久遠的代誌，萬項工事著斟酌細膩。,"Kiô teh khí-tsō sī bān-nî-kiú-uán ê tāi-tsì, bān-hāng kang-sū tio̍h tsim-tsiok sè-jī.",造橋是可長可久的事，任何工程得謹慎小心。,"Building a bridge is a long-lasting matter, any project must be cautious and careful."
彼層代誌逐家都想欲共伊放予袂記得，你是閣餾彼欲死？,"Hit tsân tāi-tsì ta̍k-ke to siūnn-beh kā i pàng hōo bē-kì--tit, lí sī koh liū he beh-sí?",那件事情大家都想要遺忘，你又重提是要幹什麼？,"Everyone wants to forget about that incident, why are you bringing it up again?"
阮老爸氣甲欲死。,Guán lāu-pē khì kah beh-sí.,我爸爸氣得不得了。,My dad is extremely angry.
伊見若做著工課就按呢欲死欲死。,I kiàn-nā tsò-tio̍h khang-khuè tō án-ne beh-sí-beh-sí.,他每次一工作時就一副無精打采的樣子。,"Every time he works, he always looks listless."
風颱天海水倒激的時會做大水。,Hong-thai-thinn hái-tsuí tò-kik ê sî ē tsò-tuā-tsuí.,颱風天海水倒灌的時候會發生水災。,"During typhoon, there will be flooding caused by seawater backflow."
我足愛去阮阿舅𪜶兜𨑨迌，遐定定都有好料的通食。,"Guá tsiok ài khì guán a-kū in tau tshit-thô, hia tiānn-tiānn to ū hó-liāu--ê thang tsia̍h.",我很喜歡去舅舅家玩，那裡常常都有美食可以吃。,"I really enjoy going to my uncle's house to play, there is always delicious food to eat."
阿福伯仔食甲七十外猶真勇跤，定定參加馬拉松比賽。,"A-hok-peh--á tsia̍h kah tshit-tsa̍p-guā iáu tsin ióng-kha, tiānn-tiānn tsham-ka ma-lá-sóng pí-sài.",阿福伯都七十多歲了還很強壯，常常參加馬拉松比賽。,"Uncle Afu is over seventy years old and still very strong, often participating in marathons."
你若毋是真正的勇跤，免數想欲綴伊的會仔。,"Lí nā m̄ sī tsin-tsiànn ê ióng-kha, bián siàu-siūnn beh tuè i ê huē-á.",你若不是一個真正財務健全的人，休想跟他的會做他的會員。,"If you are not a truly financially sound person, don't expect to join his club."
這塊豬母肉韌布布，毋但僫哺閣強欲吞袂落去。,"Tsit tè ti-bó-bah jūn-pòo-pòo, m̄-nā oh pōo koh kiōng-beh thun bē lo̍h-khì.",這塊母豬肉非常韌，非但不好咀嚼又難以下嚥。,"This piece of pork is very tough, not only difficult to chew but also hard to swallow."
學生囡仔佇運動埕徛騰騰，聽教練宣佈比賽的代誌。,"Ha̍k-sing-gín-á tī ūn-tōng-tiânn khiā-thîng-thîng, thiann kàu-liān suan-pòo pí-sài ê tāi-tsì.",小學生在操場立正站好，聽教練宣布比賽的事情。,"Elementary school students stand at attention on the playground, listening to the coach announce the details of the competition."
老師吩咐講昨昏的宿題有徛叉仔的所在，攏愛重寫過。,"Lāu-su huan-hù kóng tsa-hng ê siok-tê ū khiā-tshe-á ê sóo-tsāi, lóng ài tîng siá--kuè.",老師交代昨天的家庭作業有叉號的地方，務必要重新寫過。,The teacher instructed to rewrite the parts of yesterday's homework that have been crossed out.
𪜶兩人為著欲結婚食袂少苦湯。,In nn̄g lâng uī-tio̍h beh kiat-hun tsia̍h bē tsió khóo-thng.,他們兩人為了要結婚吃了不少苦頭。,They both went through a lot of hardships in order to get married.
你起去樓頂共恁阿爸鬥晾衫。,Lí khí-khì lâu-tíng kā lín a-pah tàu nê sann.,你上樓去幫你爸爸晾衣服。,You go upstairs to help your father hang up the clothes.
西元1940年起去的臺灣人差不多攏有受日本教育。,Se-guân 1940 nî khí-khì ê Tâi-uân-lâng tsha-put-to lóng ū siū Ji̍t-pún kàu-io̍k.,西元1940年以前的臺灣人差不多都有接受日語教育。,"Before 1940, almost all Taiwanese people received Japanese language education."
這棟樓仔厝一樓家己做店面，二樓起去就攏稅人矣。,"Tsit tòng lâu-á-tshù it lâu ka-kī tsò tiàm-bīn, jī lâu khí-khì tō lóng suè--lâng--ah.",這棟樓房一樓自己開店做生意，二樓以上都出租了。,"The ground floor of this building is used for running a business, while the upper floors are all rented out."
枋仔剾無釉，愛用沙紙閣磨過。,"Pang-á khau bô iu, ài iōng sua-tsuá koh buâ--kuè.",木板刨得不夠平滑，要用沙紙再磨過。,"The wooden board is not smooth enough, it needs to be sanded again."
人講，「一人一家代，公媽隨人祀。」你哪著去管別人的代誌咧？,"Lâng kóng, “Tsi̍t lâng tsi̍t ke tāi, kong-má suî-lâng tshāi.” Lí ná-tio̍h khì kuán pa̍t-lâng ê tāi-tsì--leh?",人家說：「一人一家事，祖先牌位各人祭祀。」你何必去管別人的事呢？,"People say, 'Each person has their own business, and everyone worships their own ancestors' tablets.' Why do you need to meddle in other people's affairs?"
這个囡仔遮爾好禮，俗語講：「一人看出一家，新婦看出大家。」相信𪜶兜的家教必然嘛誠好。,"Tsit ê gín-á tsiah-nī hó-lé, sio̍k-gí kóng, “Tsi̍t lâng khuànn-tshut tsi̍t ke, sin-pū khuànn-tshut ta-ke.” Siong-sìn in tau ê ka-kàu pit-jiân mā tsiânn hó.",這個小孩這麼有禮貌，俗話說：「由個人看出家庭的教養，由媳婦看出婆婆的涵養。」相信他們家的家教必定也很好。,"This child is so polite, as the saying goes, 'You can tell the upbringing of a family from an individual, and you can tell the cultivation of a mother-in-law from her daughter-in-law.' I believe their family education must be very good."
賣雨幔的煩惱攏好天，無人欲共買；做麵的煩惱一直落雨，麵會曝袂焦，真正是「一人煩惱一樣，無人煩惱親像」。,"Bē hōo-mua--ê huân-ló lóng hó-thinn, bô lâng beh kā bé; tsò mī--ê huân-ló it-ti̍t lo̍h-hōo, mī ē pha̍k bē ta, tsin-tsiànn sī “tsi̍t lâng huân-ló tsi̍t iūnn, bô lâng huân-ló tshin-tshiūnn”.",賣雨衣的煩惱一直都是好天氣，雨衣賣不出去；製麵條的擔心一直下雨，麵條曬不乾，真是「每個人都有各自煩心的事」。,"The trouble for raincoat sellers has always been good weather, as raincoats don't sell; noodle makers worry about rain all the time, as noodles won't dry, it's really ""everyone has their own worries""."
高速公路好駛車，毋過路標複雜，一下看無真，落南駛對上北去，就「一丈差九尺」，加了時間、閣加了油的。,"Ko-sok kong-lōo hó sái-tshia, m̄-koh lōo-piau ho̍k-tsa̍p, tsi̍t-ē khuànn bô tsin, lo̍h-lâm sái tuì tsiūnn-pak--khì, tō “tsi̍t tn̄g tsha káu tshioh”, ke liáu sî-kan, koh ke liáu iû--ê.",高速公路好開車，但是號誌複雜，一下沒看仔細，南下開到北上去，「南轅北轍」，費時又費油。,"Highways are easy to drive on, but the traffic signals are complicated. If you don't pay attention for a moment, you might end up going north instead of south, which is a waste of time and fuel."
菜塗菜金啦，過年前佮過年後，風颱前佮風颱後，青菜的價數是「一丈差九尺」。,"Tshài thôo tshài kim--lah, kuè-nî tsîng kah kuè-nî āu, hong-thai tsîng kah hong-thai āu, tshenn-tshài ê kè-siàu sī “tsi̍t tn̄g tsha káu tshioh”.",菜價賤如土、貴如金啊，過年前跟過年後，颱風前跟颱風後，蔬菜的價格「相差懸殊」。,"The price of vegetables is as cheap as dirt and as expensive as gold. Before and after the Lunar New Year, before and after the typhoon, the price of vegetables is ""drastically different""."
俗語講：「一千賒毋值八百現。」甘願俗俗仔賣，提著現金，嘛無愛予人客欠數。,"Sio̍k-gí kóng, “Tsi̍t-tshing sia m̄-ta̍t peh-pah hiān.” Kam-guān sio̍k-sio̍k-á bē, the̍h-tio̍h hiān-kim, mā bô ài hōo lâng-kheh khiàm-siàu.",俗話說：「一千元的賒帳不如八百元的現金。」寧可便宜地賣，拿到現金，也不願意讓客人賒帳。,"It is said, 'It's better to have 800 yuan in cash than to owe 1000 yuan.' Preferably sell cheaply, get cash, and not willing to let customers owe money."
