中文,台文,台羅,白話字
環保、搞笑、應用文（喜帖、祭文、推薦文、求職文、公文），,環保、笑詼、實用文（結婚帖仔、祭文、推薦文、求職文、公文），,"khuân-pó, tshiò-khue, si̍t-iōng-bûn (kiat-hun thiap-á, tsè-bûn, tshui-tsiàn-bûn, kiû-tsit-bûn, kong-bûn),","khoân-pó,chhiò-khoe,si̍t-iōng-bûn(kiat-hun thiap-á,chè-bûn,chhui-chiàn-bûn,kiû-chit-bûn,kong-bûn),"
喂！同學！,喂！同學！,ueh! tông-o̍h!,oeh!tông-o̍h!
天色已經暗了，,天色已經暗烏，,"thinn-sik í-king àm-oo,","thiⁿ-sek í-keng àm-o͘,"
喚醒母語意識之後，,喚醒母語意識了後，,"huàn tshínn bó-gí ì-sik liáu-āu,","hoàn chhíⁿ bó-gí ì-sek liáu-āu,"
那間店，布的色彩有限，,彼間店，布的色緻有限，,"hit king tiàm, pòo ê sik-tī iú-hān,","hit keng tiàm,pò͘ ê sek-tī iú-hān,"
那陣子只要有空，,彼站仔便有閒，,"Hit-tsām-á piān ū-îng,","Hit-chām-á piān ū-êng,"
他會輕輕對我說……,伊會輕聲仔共我講……,I ē khin-siann-á kā guá kóng...,I ē khin-siaⁿ-á kā góa kóng...
阿生一時不知該說什麼，,阿生一時毋知欲講啥物，,"A-sing tsi̍t-sî m̄ tsai berh kóng siánn-mih,","A-seng chi̍t-sî m̄ chai berh kóng siáⁿ-mih,"
剛開始放的時候，,頭拄才咧囥的時，,"Thâu-tú-tsiah leh khǹg ê sî,","Thâu-tú-chiah leh khǹg ê sî,"
都很值得我們敬佩。,攏真值得咱敬佩。,lóng tsin ta̍t-tit lán kìng-phuè.,lóng chin ta̍t-tit lán kèng-phòe.
看顧著語言的「聽、說、讀、寫」這四種基本能力，,照顧著語言的「聽、講、讀、寫」這四種基本能力，,"tsiàu-kòo-tio̍h gí-giân ê “thiann, kóng, tha̍k, siá” tsit sì tsióng ki-pún lîng-li̍k,","chiàu-kò͘-tio̍h gí-giân ê“thiaⁿ,kóng,tha̍k,siá”chit sì chióng ki-pún lêng-le̍k,"
再出去，,閣出--去，,"koh tshut--khì,","koh chhut--khì,"
我很想要繼續讀書。」,我足想欲閣讀冊。」,Guá tsiok siūnn-beh koh tha̍k-tsheh.”,Góa chiok siūⁿ-beh koh tha̍k-chheh.”
如果蔣家繼續傳到第三代、第四代，,若是蔣--家繼續傳到第三代、第四代，,"nā-sī Tsiúnn--ka kè-sio̍k thuân kàu tē-sann tāi, tē-sì tāi,","nā-sī Chiúⁿ--ka kè-sio̍k thoân kàu tē-saⁿ tāi,tē-sì tāi,"
他爸爸大聲地問。,𪜶阿爸大聲問。,in a-pah tuā-siann mn̄g.,in a-pah tōa-siaⁿ mn̄g.
現在他們長大了！,今大漢𪜶矣！,tann in tuā-hàn--ah!,taⁿ in tōa-hàn--ah!
他在一九九四年出生,伊佇一九九四年出世,i-tī it kiú kiú sù nî tshut-sì,i-tī it kiú kiú sù nî chhut-sì
阿生聽到他爸爸那麼大聲，,阿生聽著𪜶阿爸遐大聲，,"A-sing thiann-tio̍h in a-pa hiah tuā-siann,","A-seng thiaⁿ-tio̍h in a-pa hiah tōa-siaⁿ,"
我們崁頂的社區里長、理事長，,阮崁頂的社區里長、理事長，,"guán Khàm-tíng ê siā-khu lí-tiúnn, lí-sū-tiúnn,","goán Khàm-téng ê siā-khu lí-tiúⁿ,lí-sū-tiúⁿ,"
一群鄉巴佬跟天龍人來到田中央（真正的田地裡面），,一陣庄跤戇佮都市倯來到田中央（真正的田地的內面），,"tsi̍t-tsūn tsng-kha-gōng kap too-tshī-sông lâi kàu tshân-tiong-ng ( tsin-tsiànn ê tshân-tē ê lāi-bīn ),","chi̍t-chūn chng-kha-gōng kap to͘-chhī-sông lâi kàu chhân-tiong-ng(chin-chiàⁿ ê chhân-tē ê lāi-bīn),"
在那個不鼓勵人玩水、碰水的時代，,佇彼个無鼓勵人耍水、沐水的時代，,"tī hit ê bô kóo-lē lâng sńg-tsuí, bak tsuí ê sî-tāi,","tī hit ê bô kó͘-lē lâng sńg-chúi,bak chúi ê sî-tāi,"
成立台文讀書會、寫作會，,成立台文讀冊會、寫作會，,"sîng-li̍p Tâi-bûn tha̍k-tsheh-huē, siá-tsok-huē,","sêng-li̍p Tâi-bûn tha̍k-chheh-hōe,siá-chok-hōe,"
卻覺得更漂亮,煞感覺較媠過,suah kám-kak khah suí kèr,soah kám-kak khah súi kèr
再出去，,閣出去，,"koh tshut--khì,","koh chhut--khì,"
溫度二十四到二十七度，降雨機率四十％,溫度二十四至二十七度，落雨機率四十pha,"un-tōo jī-tsa̍p sì tsì jī-tsa̍p tshit tōo, lo̍h-hōo ki-lu̍t sì-tsa̍p pha","un-tō͘ jī-cha̍p sì chì jī-cha̍p chhit tō͘,lo̍h-hō͘ ki-lu̍t sì-cha̍p pha"
有很多窮人，,散赤人真濟，,"sàn-tshiah-lâng tsin tsē,","sàn-chhiah-lâng chin chē,"
阿生聽到他爸爸那麼大聲，,阿生聽著𪜶阿爸遐大聲，,"A-sing thiann-tio̍h in a-pâ hiah tuā-siann,","A-seng thiaⁿ-tio̍h in a-pâ hiah tōa-siaⁿ,"
市公所後面的游泳池是日本人留下來的，,市公所後面的泅水池是日本人留落來的，,"tshī-kong-sóo āu-bīn ê siû-tsuí-tî sī Ji̍t-pún-lâng lâu--lo̍h-lâi--ê,","chhī-kong-só͘ āu-bīn ê siû-chúi-tî sī Ji̍t-pún-lâng lâu--lo̍h-lâi--ê,"
沒辦法繼續讀國中，,無法度紲落去讀國中，,"bô-huat-tōo suà-lo̍h-khì tha̍k kok-tiong,","bô-hoat-tō͘ sòa-lo̍h-khì tha̍k kok-tiong,"
卻覺得更加漂亮,煞感覺較媠過,suah kám-kak khah suí kuè,soah kám-kak khah súi kòe
也是我學跳水、游出千米跟勤練自由式的基地。,嘛是我學跳水、泅出千米佮勤練掠篙泅的基地。,"mā sī guá o̍h thiàu-tsuí, siû tshut tshing bí kah khîn liān lia̍h-ko-siû ê ki-tē.","mā sī góa o̍h thiàu-chúi,siû chhut chheng bí kah khîn liān lia̍h-ko-siû ê ki-tē."
啊學校不就是蓋在「田地的中間」？,啊學校毋起佇「田地的中央」？,ah ha̍k-hāu m̄ khí tī “tshân-tē ê tiong-ng”?,ah ha̍k-hāu m̄ khí tī“chhân-tē ê tiong-ng”?
媽媽就會叫我們趕快幫忙準備泳衣、泳褲、麵包、冷水、水壺、水果……,媽媽就會叫阮緊鬥攢游泳衫、游泳褲、俗麭、冷滾水、sui̋-tóo、果子……,"ma-ma tio̍h ē kiò gún kín tàu tshuân iû-íng-sann, iû-íng khòo, sio̍k-pháng, líng kún-tsuí, sui̋-tóo, kué-tsí...","ma-ma tio̍h ē kiò gún kín tàu chhoân iû-éng-saⁿ,iû-éng khò͘,sio̍k-pháng,léng kún-chúi,sŭi-tó͘,kóe-chí..."
揉糯米團用的竹筐，,撋粿粞的kám模，,"nuá kué-tshè ê kám-bôo,","nóa kóe-chhè ê kám-bô͘,"
這兩個學生是德國人，是嗎？,這兩个學生是德國人，是--無？,"Tsit nn̄g ê ha̍k-sing sī Tik-kok-lâng, sī--bô?","Chit nn̄g ê ha̍k-seng sī Tek-kok-lâng,sī--bô?"
老闆，一尾紅燒魚，一盤炒青菜。,頭家，一尾紅燒魚，一盤炒青菜。,"Thâu-ke, tsi̍t bué âng-sio-hî, tsi̍t puânn tshá tshenn-tshài.","Thâu-ke,chi̍t bóe âng-sio-hî,chi̍t pôaⁿ chhá chheⁿ-chhài."
沒有經驗就俗氣，,無經驗就倯，,"bô king-giām tio̍h sông,","bô keng-giām tio̍h sông,"
接下來看宜蘭縣明天二號的天氣,紲落來看宜蘭縣明仔載二號的天氣,suà--lo̍h-lâi khuànn Gî-lân-kuān bîn-á-tsài jī hō ê thinn-khì,sòa--lo̍h-lâi khòaⁿ Gî-lân-koān bîn-á-chài jī hō ê thiⁿ-khì
我不知道。你問劉老師，好不好？,我毋̄知影。你問劉老師，好無？,"Guá m̄ tsai-iánn. Lí mn̄g Lâu lāu-su, hó--bô?","Góa m̄ chai-iáⁿ.Lí mn̄g Lâu lāu-su,hó--bô?"
不過針對運動本身該如何改善的檢討，,毋過針對運動本身欲按怎閣較進步的檢討，,"m̄-kù tsiam-tuì ūn-tōng pún-sin berh án-tsuánn koh-khah tsìn-pōo ê kiám-thó,","m̄-kù chiam-tùi ūn-tōng pún-sin berh án-chóaⁿ koh-khah chìn-pō͘ ê kiám-thó,"
下課後，老師把阿生叫到旁邊說話：,下課了，老師共阿生叫來邊仔講：,"Hā-khò liáu, lāu-su kā A-sing kiò lâi pinn--á kóng:","Hā-khò liáu,lāu-su kā A-seng kiò lâi piⁿ--á kóng:"
大家快來看喔！,逐家緊來看喔！,ta̍k-ke kín lâi khuànn--ooh!,ta̍k-ke kín lâi khòaⁿ--o͘h!
還記得那種溫暖的期待，,猶會記得彼款溫暖的期待，,"iáu ē-kì-tit hit khuán un-luán ê kî-thāi,","iáu ē-kì-tit hit khoán un-loán ê kî-thāi,"
阿生就拜託鄰居哥哥帶他去機械工廠做工。,阿生就姑情厝邊的阿兄𤆬伊去烏手仔工廠做工。,A-sing tō koo-tsiânn tshù-pinn ê a-hiann tshuā i khì oo-tshiú-á kang-tshiúnn tsò-kang.,A-seng tō ko͘-chiâⁿ chhù-piⁿ ê a-hiaⁿ chhōa i khì o͘-chhiú-á kang-chhiúⁿ chò-kang.
不學習就是笨，,毋學就戇，,"m̄ o̍h tō gōng,","m̄ o̍h tō gōng,"
會有畫龍點睛的效果，,會有點睛開眼的效果，,"ē ū tiám tsing khai gán ê hāu-kó,","ē ū tiám cheng khai gán ê hāu-kó,"
李江却台語文教基金會的董事：,李江却台語文教基金會的董事：,Lí Kang Khiok Tâi-gú bûn-kàu ki-kim-huē ê táng-sū:,Lí Kang Khiok Tâi-gú bûn-kàu ki-kim-hōe ê táng-sū:
他們是永遠當不上主席的，,𪜶是永遠袂當做主席的，,"in sī íng-uán bē-tàng tsò tsú-si̍k--ê,","in sī éng-oán bē-tàng chò chú-se̍k--ê,"
他們要來看我們學校。他們大部份是學生，有幾位是老師。,𪜶欲來看咱學校。𪜶大部份是學生，有幾位仔是老師。,"In beh lâi khuànn lán ha̍k-hāu. In tāi-pōo-hūn sī ha̍k-sing, ū kuí uī-á sī lāu-su.","In beh lâi khòaⁿ lán ha̍k-hāu.In tāi-pō͘-hūn sī ha̍k-seng,ū kúi ūi-á sī lāu-su."
作者：邱文錫,作者：邱文錫,tsok-tsiá: Khu Bûn-sik,chok-chiá:Khu Bûn-sek
池子邊半米外四周圍有一尺半寬的水泥水溝，,池仔邊米半外四箍圍箍有尺半闊的紅毛塗水溝，,"tî-á-pinn bí-puànn-guā sì-khoo uî-khoo ū tshioh-puànn khuah ê âng-mn̂g-thôo tsuí-kau,","tî-á-piⁿ bí-pòaⁿ-gōa sì-kho͘ ûi-kho͘ ū chhioh-pòaⁿ khoah ê âng-mn̂g-thô͘ chúi-kau,"
才抬起頭來喘氣……」、,才攑頭起來喘氣……」、,"tsiah gia̍h-thâu khí-lâi tshuán-khuì...”,","chiah gia̍h-thâu khí-lâi chhoán-khùi...”,"
差不多是有名無權的人了，,差不多是尪架桌頂的人矣，,"tsha-put-to sī ang-kè-toh-tíng ê lâng--ah,","chha-put-to sī ang-kè-toh-téng ê lâng--ah,"
「爸爸！我這個暑假賺了六百塊。,「阿爸！我這个歇熱趁著六百箍。,“A-pah! Guá tsit ê hioh-jua̍h thàn-tio̍h la̍k-pah khoo.,“A-pah!Góa chit ê hioh-joa̍h thàn-tio̍h la̍k-pah kho͘.
七月一定不只好兄弟這些移民歷史而已，,七月一定毋但好兄弟遮的移民歷史爾，,"tshit-gue̍h it-tīng m̄-nā hó-hiann-tī tsia-ê î-bîn li̍k-sú niâ,","chhit-goe̍h it-tēng m̄-nā hó-hiaⁿ-tī chia-ê î-bîn le̍k-sú niâ,"
大概幾十塊而已。,大概幾十箍仔爾爾。,Tāi-khài kuí tsa̍p khoo-á niā-niā.,Tāi-khài kúi cha̍p kho͘-á niā-niā.
這就是我想說的方向和重點。,這就是我欲講的方向佮重點。,tse tō sī guá beh kóng ê hong-hiòng kah tiōng-tiám.,che tō sī góa beh kóng ê hong-hiòng kah tiōng-tiám.
想快點來妝點布置。,趕緊欲佈置妝娗。,kuánn-kín berh pòo-tì tsng-thānn.,kóaⁿ-kín berh pò͘-tì chng-thāⁿ.
上星期量尺寸的時候，,頂禮拜咧和寸尺的時，,"Tíng lé-pài leh hô tshùn-tshioh ê sî,","Téng lé-pài leh hô chhùn-chhioh ê sî,"
都很值得我們敬佩。,攏真值得咱敬佩。,lóng tsin ta̍t-tit lán kìng-phuè.,lóng chin ta̍t-tit lán kèng-phòe.
社會的怪事,社會的奇怪代,siā-huē ê kî-kuài-tāi,siā-hōe ê kî-koài-tāi
這種人，我們有必要紀念嗎？,這款的人，咱敢著共紀念--呢？,"tsit khuán ê lâng, lán kám tio̍h kā kì-liām--neh?","chit khoán ê lâng,lán kám tio̍h kā kì-liām--neh?"
我的護照號碼是九七八二八二零九零,我的護照號碼是九七八二八二空九空,guá ê hōo-tsiàu hō-bé sī kiú tshit pat jī pat jī khòng kiú khòng,góa ê hō͘-chiàu hō-bé sī kiú chhit pat jī pat jī khòng kiú khòng
羅漢跤雖然好用，,羅漢跤雖罔好用，,"Lô-hàn-kha sui-bóng hó iōng,","Lô-hàn-kha sui-bóng hó iōng,"
要去工廠賺錢的？請舉手。」,欲去工場趁錢的？請攑手。」,beh khì kang-tiûnn thàn-tsînn--ê? Tshiánn gia̍h-tshiú.”,beh khì kang-tiûⁿ thàn-chîⁿ--ê?Chhiáⁿ giah8-chhiú.”
大雨已經下好幾天了，,大雨已經落幾若工矣，,"tuā-hōo í-king lo̍h kuí-nā kang--ah,","tōa-hō͘ í-keng lo̍h kúi-nā kang--ah,"
這個作品會讓人心情平靜，,這項作品看了心會靜，,"tsit hāng tsok-phín khuànn liáu sim ē tsīng,","chit hāng chok-phín khòaⁿ liáu sim ē chēng,"
要馬上去工作，,愛隨出去食頭路，,"ài suî tshut-khìr tsia̍h-thâu-lōo,","ài sûi chhut-khìr chia̍h-thâu-lō͘,"
最後看起來，,落尾共看khaih，,"lōo-bér kā khuànn--khaih,","lō͘-bér kā khòaⁿ--khaih,"
有夠好吃，,有夠好食，,"ū-kàu hó-tsia̍h,","ū-kàu hó-chia̍h,"
人家那是正宗的師傅做的呢，,人彼是正港師傅做的呢，,"lâng he sī tsiànn-káng sai-hū tsò--ê--neh,","lâng he sī chiàⁿ-káng sai-hū chò--ê--neh,"
有一個老闆來阿生的教室要找臨時工。,阿生的教室雄雄來一个頭家欲揣小工。,A-sing ê kàu-sik hiông-hiông lâi tsi̍t ê thâu-ke beh tshuē sió-kang.,A-seng ê kàu-sek hiông-hiông lâi chi̍t ê thâu-ke beh chhōe sió-kang.
這盤是什麼菜？,這盤是啥物菜？,Tsit puânn sī siánn-mi̍h tshài?,Chit pôaⁿ sī siáⁿ-mi̍h chhài?
要熟還要一段時間，,欲熟猶有一段時間，,"beh si̍k iáu ū tsi̍t tuānn sî-kan,","beh se̍k iáu ū chi̍t tōaⁿ sî-kan,"
還在一起那時候，,猶咧鬥陣彼時，,"iáu leh tàu-tīn hit-sî,","iáu leh tàu-tīn hit-sî,"
海外就跳過「文字爭議」直接用「漢羅混合」的方式創刊台文雜誌，,海外就跳過「文字爭議」直接用「漢羅濫寫」的方式創刊台文雜誌，,"hái-guā tio̍h thiàu-kuè “bûn-jī tsing-gī” ti̍t-tsiap iōng “Hàn Lô lām siá” ê hong-sik tshòng-khan Tâi-bûn tsa̍p-tsì,","hái-gōa tio̍h thiàu-kòe“bûn-jī cheng-gī”ti̍t-chiap iōng“Hàn Lô lām siá”ê hong-sek chhòng-khan Tâi-bûn cha̍p-chì,"
我們臺灣人總算是出人頭地了。,咱臺灣人總算會當出頭天--矣。,lán Tâi-uân-lâng tsóng-sǹg ē-tàng tshut-thâu-thinn--ah.,lán Tâi-oân-lâng chóng-sǹg ē-tàng chhut-thâu-thiⁿ--ah.
才能脫離第二外來政權的統治，,才會當脫離第二外來政權的統治，,"tsiah ē-tàng thuat-lī terē-jī guā-lâi tsìng-kuân ê thóng-tī,","chiah ē-tàng thoat-lī tērē-jī gōa-lâi chèng-koân ê thóng-tī,"
改朝換代後，也沒有一官半職，,改朝換代，並無做官做胘，,"kái tiâu uānn tāi, pīng bô tsuè-kuann tsuè kiān,","kái tiâu ōaⁿ tāi,pēng bô chòe-koaⁿ chòe kiān,"
還有，現在最重要的打字工具是手機。,閣有，這馬上要緊的拍字工具是手機仔。,"Koh ū, tsit-má siōng iàu-kín ê phah-jī kang-kū sī tshiú-ki-á.","Koh ū,chit-má siōng iàu-kín ê phah-jī kang-kū sī chhiú-ki-á."
淑珠趕緊按掉，,淑珠緊猛揤掉，,"Siok-tsu kín-mé tshi̍h tiāu,","Siok-chu kín-mé chhi̍h tiāu,"
（鄉下小孩就是鄉下小孩，,（庄跤囡仔就是庄跤囡仔，,"( tsng-kha gín-á tio̍h sī tsng-kha gín-á,","(chng-kha gín-á tio̍h sī chng-kha gín-á,"
都會被他們嘲笑，,攏都會予𪜶恥笑，,"lóng ē hōo in thí-tshiò,","lóng ē hō͘ in thí-chhiò,"
請幫我轉分機五二八二,請幫我轉分機五二八二,tshiánn pang guá tsuán hun-ki ngóo jī pat jī,chhiáⁿ pang góa choán hun-ki ngó͘ jī pat jī
淑珠看到大吃一驚，,淑珠看甲大喙開hānn-hānn，,"Siok-tsu khuànn kah tuā tshuì khui-hānn-hānn,","Siok-chu khòaⁿ kah tōa chhùi khui-hāⁿ-hāⁿ,"
啊學校不就是蓋在「田地的中間」？,啊學校毋起佇「田地的中央」？,ah ha̍k-hāu m̄ khí tī “tshân-tē ê tiong-ng”?,ah ha̍k-hāu m̄ khí tī“chhân-tē ê tiong-ng”?
我需要有理性的國家認同，,我需要有理性的國家認同，,"guá su-iàu ū lí-sìng ê kok-ka jīn-tông,","góa su-iàu ū lí-sèng ê kok-ka jīn-tông,"
萬應公廟祭拜。,萬應公廟祭拜。,Bān-ìng-kong-biō tsè-pài.,Bān-èng-kong-biō chè-pài.
大紅,大紅,Tuā-âng,Tōa-âng
大概幾十塊而已。,大概幾十箍仔爾爾。,Tāi-khài kuí tsa̍p khoo-á niā-niā.,Tāi-khài kúi cha̍p kho͘-á niā-niā.
受到這種刺激，,受著這款的刺激，,"Siū-tio̍h tsit khuán ê tshì-kik,","Siū-tio̍h chit khoán ê chhì-kek,"
啊隔壁鄰居的玩伴多少會有人走來我們家的門口，,啊厝邊隔壁的囡仔伴加減會有人走來阮兜的門跤口，,"ah tshù-pinn-keh-piah ê gín-á-phuānn ke-kiám ē ū lâng tsáu-lâi gún tau ê mn̂g-kha-kháu,","ah chhù-piⁿ-keh-piah ê gín-á-phōaⁿ ke-kiám ē ū lâng cháu-lâi gún tau ê mn̂g-kha-kháu,"
「我要去學生家裡做家庭訪問。」,「我欲去學生in兜家庭訪問。」,“guá beh khì ha̍k-sing in tau ka-tîng hóng-būn.”,“góa beh khì ha̍k-seng in tau ka-têng hóng-būn.”
當初發起者的遠見跟維持到現在二十年所有參與者的苦心付出，,當初的發起者的遠見佮維持到今二十年所有參與者的苦心付出，,"tong-tshoo ê huat-khí-tsiá ê uán-kiàn kah î-tshî kàu-tann jī-tsa̍p nî sóo-ū tsham-ú-tsiá ê khóo-sim hù-tshut,","tong-chho͘ ê hoat-khí-chiá ê oán-kiàn kah î-chhî kàu-taⁿ jī-cha̍p nî só͘-ū chham-ú-chiá ê khó͘-sim hù-chhut,"
昨天下午去布市，,昨日下晡去布市仔，,"tsa̍h-li̍t e-poo khìr pòo-tshī-á,","cha̍h-li̍t e-po͘ khìr pò͘-chhī-á,"
接下來看宜蘭縣明天二號的天氣,紲落來看宜蘭縣明仔載二號的天氣,suà--lo̍h-lâi khuànn Gî-lân-kuān bîn-á-tsài jī hō ê thinn-khì,sòa--lo̍h-lâi khòaⁿ Gî-lân-koān bîn-á-chài jī hō ê thiⁿ-khì
現搓、現煮、現吃，,現挲、現煠、現食，,"hiān so, hiān sa̍h, hiān tsia̍h,","hiān so,hiān sa̍h,hiān chia̍h,"
海水鹹鹹有海浪有浮力，,海水鹹鹹有湧有浮力，,"hái-tsuí kiâm-kiâm ū íng ū phû-la̍t,","hái-chúi kiâm-kiâm ū éng ū phû-la̍t,"
鼻子貼著不要呼吸，,鼻仔nieh咧甭喘氣，,"phīnn-á lia̍p--leh mài tshuán-khuì,","phīⁿ-á lia̍p--leh mài chhoán-khùi,"
李江却台語文教基金會的董事：,李江却台語文教基金會的董事：,Lí Kang Khiok Tâi-gú bûn-kàu ki-kim-huē ê táng-sū:,Lí Kang Khiok Tâi-gú bûn-kàu ki-kim-hōe ê táng-sū:
有爸爸幫我戴游泳圈游泳的的印象；,有爸爸共我箍樹奶箍拍滂泅的印象；,ū pa-pa kā guá khoo tshiū-ling-khoo phah-phōng-siû ê ìn-sióng;,ū pa-pa kā góa kho͘ chhiū-leng-kho͘ phah-phōng-siû ê ìn-sióng;
文章三,文章三,Bûn-tsiong sann,Bûn-chiong saⁿ
第一次看到，,頭擺看著，,"thâu-pái khuànn-tio̍h,","thâu-pái khòaⁿ-tio̍h,"
不過如果太多，,毋過若是傷過頭濟--來，,"m̄-kù nā-sī siunn kèr-thâu tsē--lâi,","m̄-kù nā-sī siuⁿ kèr-thâu chē--lâi,"
有漢文化混合。,有漢文化摻濫。,ū Hàn bûn-huà tsham-lām.,ū Hàn bûn-hòa chham-lām.
不過，爸爸媽媽不准我們去圳溝那玩水，,毋過，爸爸媽媽不准阮去圳溝遐耍水，,"m̄-koh, pa-pa ma-ma put-tsún gún khì tsùn-kau hia sńg-tsuí,","m̄-koh,pa-pa ma-ma put-chún gún khì chùn-kau hia sńg-chúi,"
為了三百元,為著三百箍,Uī-tio̍h sann-pah khoo,Ūi-tio̍h saⁿ-pah kho͘
「是老師喔！,「是老師喔！,“sī lāu-su--ooh!,“sī lāu-su--o͘h!
只有台語人在要求「母語權」以外，,干焦台語人佇要求「母語權」以外，,"kan-na Tâi-gí-lâng tī iau-kiû “bú-gí-khuân” í-guā,","kan-na Tâi-gí-lâng tī iau-kiû“bú-gí-khoân”í-gōa,"
色調稍顯內斂的大圓龍鳳，,色調小可仔較偏閉思的大圓龍鳳，,"sik-tiāu sió-khuá-á khah phian pì-sù ê tuā înn liông-hōng,","sek-tiāu sió-khóa-á khah phian pì-sù ê tōa îⁿ liông-hōng,"
一群鄉巴佬跟天龍人來到田中央（真正的田地裡面），,一陣庄跤戇佮都市倯來到田中央（真正的田地的內面），,"tsi̍t-tsūn tsng-kha-gōng kah too-tshī-sông lâi kàu tshân-tiong-ng ( tsin-tsiànn ê tshân-tē ê lāi-bīn ),","chi̍t-chūn chng-kha-gōng kah to͘-chhī-sông lâi kàu chhân-tiong-ng(chin-chiàⁿ ê chhân-tē ê lāi-bīn),"
誰知道入學之後，,啥人知影入學以後，,"siáng tsai-iánn ji̍p-ha̍k í-āu,","siáng chai-iáⁿ ji̍p-ha̍k í-āu,"
趁著學校有母語教育，,趁學校有母語教育，,"thàn ha̍k-hāu ū bú-gír kàu-io̍k,","thàn ha̍k-hāu ū bú-gír kàu-io̍k,"
三百元補貼家用，三百元給我，好嗎？」,三百箍鬥相添厝裡，三百箍予我，好無？」,"Sann-pah khoo tàu sann-thinn tshù--lí, sann-pah khoo hōo--guá, hó--bô?”","Saⁿ-pah kho͘ tàu saⁿ-thiⁿ chhù--lí,saⁿ-pah kho͘ hō͘--góa,hó--bô?”"
我有時也去和他們一起喝茶說笑，消磨時間。多少懂一些啦。,我有時嘛去參𪜶食茶練痟話，消遣拍抐涼。捌寡啦。,"Guá ū-sî mā khì tsham in tsia̍h-tê liān-siáu-uē, siau-khián phah-lā-liâng. Bat--kuá--lah.","Góa ū-sî mā khì chham in chia̍h-tê liān-siáu-ōe,siau-khián phah-lā-liâng.Bat--kóa--lah."
或許是「美」這個詞本身,檢采是「媠」這个詞本身,kiám-tshái sī “suí” tsit ê sû pún-sin,kiám-chhái sī“súi”chit ê sû pún-sin
依我看，,我看，,"Guá khuànn,","Góa khòaⁿ,"
雨早就停了。,雨早就斷點。,hōo tsá tiō tn̄g tiám.,hō͘ chá tiō tn̄g tiám.
揉糯米糰用的竹筐，,撋粿粞的𥴊模，,"nuá kué-tshè ê kám-bôo,","nóa kóe-chhè ê kám-bô͘,"
那時，輕工業才剛開始發展，,彼時陣，輕工業才開始發穎，,"Hit-sî-tsūn, khin-kang-gia̍p tsiah khai-sí puh-ínn,","Hit-sî-chūn,khin-kang-gia̍p chiah khai-sí puh-íⁿ,"
整個暑假整整六十天都沒休息。,規个歇熱貼貼六十工攏無歇睏。,kui-ê hioh-lua̍h tah-tah la̍k-tsa̍p kang lóng bô hioh-khùn.,kui-ê hioh-loa̍h tah-tah la̍k-cha̍p kang lóng bô hioh-khùn.
「你的成績這麼好，,「你的成績遮爾好，,"“Lír ê sîng-tsik tsiah-nī hó,","“Lír ê sêng-chek chiah-nī hó,"
提示卡編號：TA_0009,提示卡編號：TA_0009,Thê-sī khá pian-hō : TA_0009,Thê-sī khá pian-hō:TA_0009
阿生就是其中之一。,阿生就是其中一个。,A-sing tiō sī kî-tiong tsi̍t ê.,A-seng tiō sī kî-tiong chi̍t ê.
像『沙灘』、『太陽傘』、躺椅、墨鏡、比基尼、,親像『沙灘』、『太陽傘』、䖙椅、牽烏目鏡、pi-kí-nih、,"tshin-tshiūnn ‘沙-灘’, ‘太-陽-傘’, the-í, khan oo-ba̍k-kiànn, pi-kí-nih,","chhin-chhiūⁿ‘沙灘’,‘太陽傘’,the-í,khan o͘-ba̍k-kiàⁿ,pi-kí-nih,"
訂購的桌巾和杯墊拿回來。,注文的桌苴仔佮杯墊仔提--轉來。,tsù-bûn ê toh-tsū-á kah pue-tiām-á the̍h--tńg-lâi.,chù-bûn ê toh-chū-á kah poe-tiām-á the̍h--tńg-lâi.
說出「臺語文出頭天！」,講「臺語文出頭天！」,kóng “Tâi-gí-bûn tshut-thâu-thinn!”,kóng“Tâi-gí-bûn chhut-thâu-thiⁿ!”
然後，從海外傳入台灣，,然後，對海外傳入來台灣，,"jiân-āu, uì hái-guā thuân ji̍p-lâi Tâi-uân,","jiân-āu,ùi hái-gōa thoân ji̍p-lâi Tâi-oân,"
要用第一份的文件。,欲用頭一份的字紙。,beh īng thâu tsi̍t hūn ê jī-tsuá.,beh ēng thâu chi̍t hūn ê jī-chóa.
想不到......」,想袂到......」,siūnn-bē-kàu......”,siūⁿ-bē-kàu......”
三. 文章一,三. 文章一,Sann. Bûn-tsiong it,Saⁿ.Bûn-chiong it
還叫人說明解說。,閣叫人說明解說。,koh kiò lâng suat-bîng kái-sueh.,koh kiò lâng soat-bêng kái-soeh.
幾乎是有名無權的人了，,差不多是尪架桌頂的人--矣，,"tsha-put-to sī ang-kè-toh-tíng ê lâng--ah,","chha-put-to sī ang-kè-toh-téng ê lâng--ah,"
他們永遠也當不上黨主席，,𪜶是永遠袂當做主席--的，,"in sī íng-uán bē-tàng tsò tsú-si̍k--ê,","in sī éng-oán bē-tàng chò chú-se̍k--ê,"
就先學潛水……」,就先學藏水沬……」,tio̍h sing o̍h tshàng-tsuí-bī...”,tio̍h seng o̍h chhàng-chúi-bī...”
老師啊！,老師啊！,láu-su--ah!,láu-su--ah!
依然懷想。,懷想依然。,huâi-sióng i-jiân.,hoâi-sióng i-jiân.
他爬起來伸展，,伊peh起來伸勻，,"i peh khí-lâi tshun-ûn,","i peh khí-lâi chhun-ûn,"
