中文,台文,台羅
感染後會有什麼症狀？,染著後會有啥物症頭？,jiám-tio̍h-āu ē-ū-siánn-mih tsìng-thâu？
醫生表示抵抗力差的小孩、老人，無故發燒、拉肚子要特別小心，嚴重時引發敗血症可能致死！,醫生表示抵抗力差的囡仔、老人，無端發燒、落屎愛特別細字，嚴重時引發敗血種可能致死！,i-sing piáu-sī tí-khòng-li̍k-tsha ê gín-á、lāu-lâng，bô-tuann huat-sio、làu-sái ài-ti̍k-pia̍t-sè-jī，giâm-tiōng-sî ín-huat pāi-hiat-tsìng khó-lîng-tì-sí！
專家警告超級細菌終究會入侵台灣，因為醫護人員起初常常無法察覺，遭到超級細菌感染，抗生素往往也來不及施打，死亡率就會攀高到五成，民眾避免無事進出醫院、勤洗手，方是正確預防之道。,專家警告超級細菌早慢會入侵臺灣，因為醫護人員起初定定無法察覺，拄著超級細菌染著，抗生素往往⿳⿳ㄨㄢˊ也袂赴注射，死亡率都會八懸到五成，民眾避免無事出入醫院、骨力洗手，正是正確預防之刀。,tsuan-ka kíng-kò tshiau-kip-sè-khún tsá-bān-ē ji̍p-tshim tâi-uân，in-uī i-hōo-jîn-uân khí-tshoo tiānn-tiānn bô-huat-tshat-kak，tú-tio̍h tshiau-kip sè-khún jiám-tio̍h，khòng-sing-sòo íng-íng uân-ā-bē-hù tsù-siā，sí-bông-lu̍t to-ē peh-kuân-kàu gōo-siânn，bîn-tsiòng pī-bián bô-sū tshut-ji̍p pēnn-īnn、kut-la̍t-sé-tshiú，tsiànn-sī tsìng-khak ī-hông-tsi-to。
舉重重鎮「一樂園飯店」火燒招牌。台北市西門町的老飯店，舉重重鎮「一樂園大飯店」，在五日晚間八點多傳出火災，起火原因疑似飯店的招牌電線走火，瞬間火勢極大，飯店外面牆壁的磁磚剝落掉滿地，幸好火勢在半小時內被撲滅，沒有任何人傷亡！,舉重重鎮「一樂園飯店」火燒招牌。臺北市西門町的老飯店，舉重重鎮「一樂園大飯店」，佇五號暗時八點外傳出火災，著火燒原因疑似飯店的⿰かん⿰ばん電線走火，瞬間火勢到大，飯店外面壁堵的瓷仔裝⿰嘿啦去落規塗跤，好佳哉火勢佇半點鐘內被拍花，無任何人傷亡！,kí-tāng tiōng-tìn「it-lo̍k-hn̂g pn̄g-tiàm」hué-sio tsiau-pâi. tâi-pak-tshī se-mn̂g-ting ê lāu-pn̄g-tiàm，kí-tāng tiōng-tìn「it-lo̍k-hn̂g tuā-pn̄g-tiàm」，tī gōo-hō àm-sî peh-tiám-guā thuân-tshut hué-tsai，tio̍h-hué-sio guân-in gî-sū pn̄g-tiàm-ê 1khang5-1pang2 tiān-suànn-tsáu-hué，sùn-kan hué-sì-kàu-tuā，pn̄g-tiàm guā-bīn piah-tóo-ê huî-á-tsng hiàu-khì lak-kui-thôo-kha，hó-ka-tsài hué-sì tī puànn-tiám-tsing-lāi pī-phah-hua，bô-jīm-hô-lâng siong-bông！
「一樂園大飯店」是培育舉重選手的大本營，幸好這場大火沒把飯店燒毀，否則後果不堪設想！,「一樂園大飯店」是培育舉重選手的大本營，好佳哉這場大火無共飯店燒毀，若無後果不堪設想！,「it-lo̍k-hn̂g tuā-pn̄g-tiàm」sī puê-io̍k kí-tāng-suán-tshiú ê tāi-pún-iânn，hó-ka-tsài tsit-tiûnn-tuā-hué bô-kā pn̄g-tiàm sio-huí，nā-bô hiō-kó put-kham-siat-sióng！
民眾拍下火災現場影片，大火一燒就是十幾分鐘，灰燼碎片掉落滿地，擔心殘火繼續延燒，消防隊仍然持續灑水灌救！,民眾翕落火災現場影片，大火一燒就是十外分鐘，火烌喙配仔落規塗跤，擔心殘火繼續延燒，消防隊猶原繼續霧水灌救！,bîn-tsiòng hip-lo̍h hué-tsai-hiān-tiûnn iánn-phìnn，tuā-hué-tsi̍t-sio tio̍h-sī tsa̍p-guā-hun-tsing，hué-hu tshuì-phuè-á lak-kui-thôo-kha，tam-sim tsân-hué kè-sio̍k iân-sio，siau-hông-tuī iu-guân kè-sio̍k bū-tsuí-kuàn-kiù！
外勞管理問題多每年逃逸上萬人。國道六號發生施工鷹架倒塌意外，造成一名台灣領班死亡，還有六名外勞不幸活埋的悲劇之後，監察委員調查發現，台灣外勞管理的問題相當嚴重，每年逃逸的外勞人數，竟然多達上萬人，監察委員質疑移民署怠忽職守，除了針對各個管理外勞的單位，進行第二波的調查以外，也不排除對移民署提出糾正。,外勞管理問題濟每年溜旋上萬人。國道六號發生施工鷹架倒塌意外，造成一名臺灣領班死亡，猶有六名外勞不幸活埋的悲劇了後，鑑漆委員調查發現，臺灣外勞管理的問題雙擋嚴重，每年溜旋的外勞人數，竟然多達上萬人，鑑漆委員質疑移民署疏忽這首，除了針對逐个管理外勞的單位，進行第二抱的調查以外，⿳⿳ㄨㄢˊ也無排除對移民署提出糾正。,guā-lô kuán-lí būn-tuê-tsuē muí-nî liu-suan tsiūnn-bān-lâng. kok-tō-la̍k-hō huat-sing si-kang ing-kè tò-thap ì-guā，tsō-sîng tsi̍t-miâ tâi-uân niá-pan sí-bông，iáu-ū la̍k-miâ guā-lô put-hīng ua̍h-tâi-ê pi-kio̍k-liáu-āu，kàm-tshat-uí-guân tiau-tsa huat-hiān，tâi-uân guā-lô kuán-lí-ê būn-tuê siang-tòng giâm-tiōng，muí-nî liu-suan-ê guā-lô jîn-sòo，kìng-jiân to-ta̍t tsiūnn-bān-lâng，kàm-tshat-uí-guân tsit-gî î-bîn-sú soo-hut-tsit-siú，tî-liáu tsiam-tuì ta̍k-ê kuán-lí guā-lô-ê tan-uī，tsìn-hîng tē-jī-phō ê tiau-tsa í-guā，uân-ā-bô-pâi-tî tuì î-bîn-sú the̍h-tshut kiù-tsìng。
南投縣國姓鄉的北山村，北山交流道新建工程的意外，造成了七名工人慘遭活埋死亡。,南投縣國姓鄉的北山村，北山交流都新建工程的意外，造成了七名工人慘遇活埋死亡。,lâm-tâu-kuān kok-sìng-hiong ê pak-suann-tshuan，pak-suann-kau-liû-to sin-kiàn-kang-tîng ê ì-guā，tsō-sîng-liáu tshit-miâ kang-lâng tshám-gū-ua̍h-tâi sí-bông。
國道六號工程意外台灣領班外勞死亡。國道六號工程發生嚴重意外事故！,國道六號工程意外臺灣領班外勞死亡。國道六號工程發生嚴重意外事故！,kok-tō-la̍k-hō kang-tîng-ì-guā tâi-uân niá-pan guā-lô sí-bông. kok-tō-la̍k-hō kang-tîng huat-sing giâm-tiōng ì-guā-sū-kòo！
這次發生工安意外的地點，是位於南投縣國姓鄉的北山村，正在進行北山交流道新建工程，慘遭活埋死亡的七名工人當中，其中有六人是印尼籍的外勞，只有領班莊永和是台灣人，莊永和的家人忍痛處理後事，至於其他受傷的三名台灣工人，身上傷勢都不嚴重，非常惜福自己能夠逃過死劫。,這擺發生工安意外的地點，是位佇南投縣國姓鄉的北山村，正咧進行北山交流都新建工程，慘遇活埋死亡的七名工人當中，其中有六人是印尼籍的外勞，干焦領班莊永和是臺灣人，莊永和的厝內人忍疼處理後事，至於其他受傷的三名臺灣工人，身軀頂傷勢攏無嚴重，足惜福家己會使走過死劫。,tsit-pái huat-sing kang-an-ì-guā ê tuē-tiám，sī-uī-tī lâm-tâu-kuān kok-sìng-hiong ê pak-suann-tshuan，tsiànn-leh-tsìn-hîng pak-suann-kau-liû-to sin-kiàn-kang-tîng，tshám-gū ua̍h-tâi sí-bông-ê tshit-miâ kang-lâng tong-tiong，kî-tiong-ū la̍k-lâng sī ìn-nî-tsi̍k ê guā-lô，kan-na niá-pan tsng-íng-hô sī tâi-uân-lâng，tsng-íng-hô ê tshù-lāi-lâng jím-thiànn tshú-lí-hōo-sū，tsì-î kî-thann siū-siong-ê sann-miâ tâi-uân-kang-lâng，sin-khu-tíng siong-sè lóng-bô-giâm-tiōng，tsiok-sioh-hok ka-kī ē-sái tsáu-kuè sí-kiap。
夫妻在家製毒成品放冰箱。高屏地區破獲兩起安非他命製毒案，一件是在高雄縣仁武鄉一棟透天民宅，竟然有一對夫妻，就在孩子面前製造毒品，還把安非他命毒品和冰箱食物放在一起；另一件是在屏東縣恆春，製毒主嫌是女性。,翁仔某佇厝製毒成品囥冰箱。高屏地區破獲兩起安非它命製毒案，一件是佇高雄縣仁武鄉一棟透天人家厝，竟然有一對翁仔某，都佇囡仔面前製造毒品，猶共安非它命毒品佮冰箱食物囥做伙；另一件是佇屏東縣恆春，製毒主嫌是女性。,ang-á-bóo tī-tshù tsè-to̍k sîng-phín khǹg-ping-siunn. ko-pîn-tē-khu phò-hi̍k nn̄g-khí an-hui-tha-bīng tsè-to̍k-àn，tsi̍t-kiānn sī-tī ko-hiông-kuān jîn-bú-hiong tsi̍t-tòng thàu-thinn-jîn-ke-tshù，kìng-jiân-ū tsi̍t-tuì ang-á-bóo，to-tī gín-á bīn-tsîng tsè-tsō to̍k-phín，iáu-kā an-hui-tha-bīng to̍k-phín kap ping-siunn si̍t-bu̍t khǹg-tsò-hué；līng-tsi̍t-kiānn sī-tī pîn-tong-kuān hîng-tshun，tsè-to̍k tsú-hiâm-sī lí-sìng。
在仁武鄉這對嫌犯許姓夫妻，帶著三名小孩，以自己住宅當地下製毒工廠，二樓製造毒品，三樓當住家，還把家裏用的冰箱，拿來結晶安非他命毒品。,佇仁武鄉這對嫌犯姓許翁仔某，𤆬著三名囡仔，用家己徛家做地下製造工場，二樓製造毒品，三樓做徛家，猶共厝內用的冰箱，提來結晶安非它命毒品。,tī jîn-bú-hiong tsit-tuì hiâm-huān sènn-khóo ang-á-bóo，tshuā-tio̍h sann-miâ gín-á，īng-ka-kī khiā-ke tsò tē-hā-tsè-tsō-kang-tiûnn，jī-lâu tsè-tsō to̍k-phín，sann-lâu tsò-khiā-ke，iáu-kā tshù-lāi-īng-ê ping-siunn，the̍h-lâi kiat-tsenn an-hui-tha-bīng to̍k-phín。
舉重重鎮「一樂園飯店」火燒招牌。台北市西門町的老飯店舉重重鎮「一樂園大飯店」，在五日晚間八點多傳出火災，起火原因疑似飯店的招牌電線走火，瞬間火勢極大，飯店外面牆壁的磁磚剝落掉滿地，幸好火勢在半小時內被撲滅，沒有任何人傷亡！,舉重重鎮「一樂園飯店」火燒招牌。臺北市西門町的老飯店舉重重鎮「一樂園大飯店」，佇五號暗時八點外傳出火災，著火燒原因疑似飯店的⿰かん⿰ばん電線走火，瞬間火勢到大，飯店外面壁堵的瓷仔裝⿰嘿啦去落規塗跤，好佳哉火勢佇半點鐘內被拍花，無任何人傷亡！,kí-tāng tiōng-tìn「it-lo̍k-hn̂g-pn̄g-tiàm」hué-sio tsiau-pâi. tâi-pak-tshī se-mn̂g-ting ê lāu-pn̄g-tiàm kí-tāng tiōng-tìn「it-lo̍k-hn̂g-tuā-pn̄g-tiàm」，tī gōo-hō àm-sî peh-tiám-guā thuân-tshut hué-tsai，tio̍h-hué-sio guân-in gî-sū pn̄g-tiàm-ê 1khang5-1pang2 tiān-suànn-tsáu-hué，sùn-kan hué-sì-kàu-tuā，pn̄g-tiàm guā-bīn piah-tóo-ê huî-á-tsng hiàu-khì lak-kui-thôo-kha，hó-ka-tsài hué-sì tī puànn-tiám-tsing-lāi pī-phah-hua，bô-jīm-hô-lâng siong-bông！
「一樂園大飯店」是培育舉重選手的大本營，幸好這場大火沒把飯店燒毀，否則後果不堪設想！,「一樂園大飯店」是培育舉重選手的大本營，好佳哉這場大火無共飯店燒毀，若無後果不堪設想！,「it-lo̍k-hn̂g-tuā-pn̄g-tiàm」sī puê-io̍k kí-tāng-suán-tshiú ê tāi-pún-iânn，hó-ka-tsài tsit-tiûnn tuā-hué bô-kā pn̄g-tiàm sio-huí，nā-bô hiō-kó put-kham-siat-sióng！
民眾拍下火災現場影片，大火一燒就是十幾分鐘，灰燼碎片掉落滿地，擔心殘火繼續延燒，消防隊仍然持續灑水灌救！,民眾翕落火災現場影片，大火一燒就是十外分鐘，火烌喙配仔落規塗跤，擔心殘火繼續延燒，消防隊猶原繼續霧水灌救！,bîn-tsiòng hip-lo̍h hué-tsai-hiān-tiûnn iánn-phìnn，tuā-hué-tsi̍t-sio tio̍h-sī tsa̍p-guā-hun-tsing，hué-hu tshuì-phuè-á lak-kui-thôo-kha，tam-sim tsân-hué kè-sio̍k iân-sio，siau-hông-tuī iu-guân kè-sio̍k bū-tsuí-kuàn-kiù！
貧童偷玩具大賣場寒冬送溫暖。高雄市一名八歲男孩，在大賣場偷了變形金剛被送到警察局，大賣場事後得知，原來男孩的家境相當清寒，只有單親媽媽靠著拾荒，獨立扶養四個孩子，因此不追究男孩的偷竊行為，下午還到男孩家中慰問，送上生活用品和兒童書籍，還有他朝思暮想的變形金剛。,貧童偷𨑨迌物大賣場寒冬送溫暖。高雄市一名八歲查埔囡仔，佇大賣場偷了變形金剛被送到警察局，大賣場事後得知，原來查埔囡仔的家境相當散赤，干焦有單親老母靠著抾字紙，獨立養飼四个囡仔，就按呢無追究查埔囡仔的偷提行為，下晡猶到查埔囡仔厝內慰問，送著生活用品佮囡仔冊，猶有伊暝日數念的變形金剛。,pîn-tông thau-tshit-thô-mi̍h tuā-bē-tiûnn hân-tong sàng-un-luán. ko-hiông-tshī tsi̍t-miâ peh-huè tsa-poo-gín-á，tī tuā-bē-tiûnn thau-liáu piàn-hîng-kim-kong pī-sàng-kàu kíng-tshat-kio̍k，tuā-bē-tiûnn sū-āu-tit-tsai，guân-lâi tsa-poo-gín-á-ê ka-kíng siang-tong sàn-tshiah，kan-ta-ū tan-tshin-lāu-bó khò-tio̍h khioh-jī-tsuá，to̍k-li̍p iúnn-tshī sì-ê gín-á，tsū-án-ne bô-tui-kiù tsa-poo-gín-á-ê thau-the̍h-hîng-uî，ē-poo iáu-kàu tsa-poo-gín-á tshù-lāi uì-būn，sàng-tio̍h sing-ua̍h-iōng-phín kap gín-á-tsheh，iáu-ū-i mê-ji̍t-siàu-liām ê piàn-hîng-kim-kong。
單純的男孩偷竊案，道出社會角落的窮困悲歌，不過大賣場的寒冬送溫暖，也讓家境清寒的男孩一家人，感覺到人間有愛。,單純的查埔囡仔偷提按，講出社會邊仔角的散赤悲歌，毋過大賣場的寒冬送溫暖，⿳⿳ㄨㄢˊ也予家境散赤的查埔囡仔一家口，感覺著人間有愛。,tan-sûn-ê tsa-poo-gín-á thau-the̍h-àn，kóng-tshut siā-huē pinn-á-kak-ê sàn-tshiah-pi-kua，m̄-koh tuā-bē-tiûnn ê hân-tong sàng-un-luán，uân-ā-hōo ka-kíng sàn-tshiah-ê tsa-poo-gín-á tsi̍t-ke-kháu，kám-kak-tio̍h jîn-kan-ū-ài。
油價漲七角！五個月以來新高。受到美元走貶，國際油價持續飆漲的影響，台灣中油宣佈從星期一凌晨開始，調漲國內汽油、柴油價格每公升零點七元，不僅讓九五無鉛汽油再次站上三十元大關，也是八月底以來第五次漲價，一共調漲了一塊五角。,油價起七角五個月以來新懸。受著美元無價，國際油價繼續飆起的影響，臺灣中油宣佈對禮拜一天欲光開始，調起國內汽油、柴油價數每公升靈點七箍，毋但予九五無鉛汽油再次徛上三十箍大關，⿳⿳ㄨㄢˊ也是八月底以來第五擺起價，攏總調起了一箍五角。,iû-kè khí tshit-kak gōo-kòo-gue̍h í-lâi sin-kuân. siū-tio̍h bí-guân bô-kè，kok-tsè iû-kè kè-sio̍k pio-khí-ê íng-hiáng，tâi-uân-tiong-iû suan-pòo tuì lé-pài-it thinn-beh-kng khai-sí，tiâu-khí kok-lāi khì-iû、tshâ-iû kè-siàu muí-kong-tsin lîng-tiám-tshit-khoo，m̄-nā-hōo kiú-ngóo bô-iân-khì-iû tsài-tshù khiā-tsiūnn sann-tsa̍p-khoo tuā-kuan，uân-ā-sī peh-gue̍h-té í-lâi tē-gōo-pái khí-kè，lóng-tsóng tiâu-khí-liáu tsi̍t-khoo-gōo-kak。
今天一整個下午，加油站工作人員的手沒停過，因為不少民眾、運將一聽到消息，從星期一油價又要漲七角，不管有事沒事都跑來加油。,今仔日規个下晡，加油站工作人員的手無停過，因為袂少民眾、運將一聽著消息，對禮拜一油價閣欲起七角，不管有事無事攏走來加油。,kin-á-ji̍t kui-ê-ē-poo，ka-iû-tsām kang-tsok-jîn-uân ê tshiú bô-thîng-kuè，in-uī bē-tsió bîn-tsiòng、ùn-tsiàng tsi̍t-thiann-tio̍h siau-sit，tuì lé-pài-it iû-kè koh-beh khí-tshit-kak，put-kuán ū-sū-bô-sū lóng-tsáu-lâi ka-iû。
騎士誤闖月台遭火車輾斃。台鐵位於台南縣官田鄉的拔林車站，屬於無人看管的簡易行車站，昨天卻發生意外，一位騎士誤闖沒設柵欄的旅客出入口，機車一路騎上月台之後，連人帶車跌下鐵軌，被火車當場輾斃，九日下午李姓民眾，騎著機車誤闖拔林火車站的旅客出入口，連人帶車跌落月台，遭到北上的莒光號列車當場輾斃。,騎車的誤傱月台遭火車𩛩死。臺鐵位佇臺南縣官田鄉的別藍車站，屬於無人看顧的簡易還車站，昨日煞發生意外，一位騎車的誤傱無設柵欄的旅客出入口，⿰オ－ト⿰バイ一路騎上月台了後，連人帶車跋落鐵枝仔路，被火車當場𩛩死，九號下晡姓李民眾，騎著⿰オ－ト⿰バイ誤傱別籃火車站的旅客出入口，連人帶車跋落月台，拄著上北的莒光號列車當場𩛩死。,khiâ-tshia-ê gōo-tsông gue̍h-tâi tso hué-tshia kauh-sí. tâi-thih uī-tī tâi-lâm-kuān kuann-tiân-hiong ê pa̍t-nâ-tshia-tsām，sio̍k-î bô-lâng-khuànn-kòo-ê kán-ī-hîng-tshia-tsām，tso̍h-ji̍t suah-huat-sing ì-guā，tsi̍t-uī khiâ-tshia-ê gōo-tsông bô-siat tsheh-nuâ-ê lú-kheh tshut-ji̍p-kháu，1oo7-1too1-1bai2 tsi̍t-lōo-khiâ-tsiūnn gue̍h-tâi liáu-āu，liân-lâng-tài-tshia pua̍h-lo̍h thih-ki-á-lōo，pī hué-tshia tong-tiûnn kauh-sí，káu-hō ē-poo sènn-lí bîn-tsiòng，khiâ-tio̍h 1oo7-1too1-1bai2 gōo-tsông pa̍t-nâ-hué-tshia-tsām ê lú-kheh tshut-ji̍p-kháu，liân-lâng-tài-tshia pua̍h-lo̍h gue̍h-tâi，tú-tio̍h tsiūnn-pak-ê kí-kong-hō lia̍t-tshia tong-tiûnn kauh-sí。
台鐵是否有人為疏失，警方還要進一步調查。,臺鐵是毋是有人為疏失，警方猶欲進一步調查。,tâi-thih sī-m̄-sī-ū jîn-uî-soo-sit，kíng-hong iáu-beh tsìn-tsi̍t-pōo tiau-tsa。
行政不中立陳武雄挨罵。農委會的主委陳武雄，今天被民進黨立委砲轟行政不中立，在農委會主辦的國際木雕座談會上，陳武雄當著參選大台中市長的胡志強，以及參加來賓的面前說「他一定要當選」，一旁的胡志強還比出拜託手勢，大聲喊經費「加倍」。,行政無中立陳武雄予人禡。農委會的主委陳武雄，今仔日被民進黨立委砲轟行政無中立，佇農委會主辦的國際木雕座談會頂，陳武雄當著參選大臺中市長的胡志強，以及參加來賓的面前講「伊一定愛當選」，一爿的胡志強猶比出拜託手勢，大聲喝經費「加倍」。,hîng-tsìng-bô-tiong-li̍p tân-bú-hiông hōo-lâng-mā. lông-uí-huē ê tsú-uí tân-bú-hiông，kin-á-ji̍t pī bîn-tsìn-tóng-li̍p-uí phàu-hong hîng-tsìng-bô-tiong-li̍p，tī lông-uí-huē tsú-pān-ê kok-tsè bo̍k-tiau tsō-tâm-huē-tíng，tân-bú-hiông tng-tio̍h tsham-suán tuā-tâi-tiong-tshī-tiúnn ê ôo-tsì-kiông，í-ki̍p tsham-ka lâi-pin-ê bīn-tsîng-kóng「i it-tīng-ài tòng-suán」，tsi̍t-pîng-ê ôo-tsì-kiông iáu-pí-tshut pài-thok tshiú-sè，tuā-siann-huah king-huì「ka-puē」。
十月九日當天，陳武雄竟然利用農委會舉辦的活動，公開替中國國民黨的胡志強助選，民進黨立委批評陳武雄行政不中立。,十月九號當工，陳武雄竟然利用農委會舉辦的活動，公開替中國國民黨的胡志強助選，民進黨立委批評陳武雄行政無中立。,tsa̍p-gue̍h káu-hō tng-kang，tân-bú-hiông kìng-jiân lī-iōng lông-uí-huē kú-pān-ê ua̍h-tōng，kong-khai-thè tiong-kok-kok-bîn-tóng ê ôo-tsì-kiông tsōo-suán，bîn-tsìn-tóng-li̍p-uí phue-phîng tân-bú-hiông hîng-tsìng-bô-tiong-li̍p。
台中新市政中心落成上演「空城」,臺中新市政中心落成上演「空城」,tâi-tiong sin-tshī-tsìng-tiong-sim lo̍k-sîng tsiūnn-ián「khang-siânn」
。臺中市政府的新市政中心，十日當天風光落成，但是細部工程都沒完工，市府人員照常在舊市府辦公，害得民眾跑到新市政中心卻撲了空，台中市議員嘲諷應該把新大樓改名為「道歉中心」，現場只有七位員工上班，落成之後卻上演「空城」，可是整棟大樓燈火通明，冷氣電費由台中市民繳稅買單。,。臺中市政府的新市政中心，十號當工風光落成，毋過細部工事攏無員工，市府人員照常佇舊市府辦公，害甲民眾走到新市政中心煞落空行，臺中市議員剾洗應該共新大樓改名做「會失禮中心」，現場干焦有七位員工上班，落成了後煞上演「空城」，毋過規擋大樓燈火通明，冷氣電費予臺中市民繳稅付數。,. tâi-tiong-tshī-tsìng-hú ê sin-tshī-tsìng-tiong-sim，tsa̍p-hō tng-kang hong-kong-lo̍k-sîng，m̄-koh suè-pōo kang-sū lóng-bô-uân-kang，tshī-hú-jîn-uân tsiàu-siông-tī kū-tshī-hú pān-kong，hāi-kah bîn-tsiòng tsáu-kàu sin-tshī-tsìng-tiong-sim suah-làu-khang-kiânn，tâi-tiong-tshī-gī-uân khau-sé ìng-kai-kā sin-tuā-lâu kái-miâ-tsò「huē-sit-lé-tiong-sim」，hiān-tiûnn kan-ta-ū tshit-uī uân-kang siāng-pan，lo̍k-sîng-liáu-āu suah-tsiūnn-ián「khang-siânn」，m̄-koh kui-tòng-tuā-lâu ting-hué-thong-bîng，líng-khì tiān-huì hōo tâi-tiong-tshī-bîn kiáu-suè hù-siàu。
民進黨大台中市長參選人蘇嘉全指出，既然是落成典禮，應該就是正式啟用，玩文字遊戲沒意思，胡志強應該向市民解釋清楚。,民進黨大臺中市長參選人蘇嘉全指出，敢若是落成典禮，應該就是正式啟用，損弄花字無意思，胡志強應該向市民解說清楚。,bîn-tsìn-tóng tuā-tâi-tiong-tshī-tiúnn tsham-suán-jîn soo-ka-tsuân tsí-tshut，kánn-nā-sī lo̍k-sîng-tián-lé，ìng-kai tio̍h-sī tsìng-sik-khé-iōng，sńg-lāng-hue-jī bô-ì-sù，ôo-tsì-kiông ìng-kai-hiòng tshī-bîn kái-sueh tshing-tshó。
受困六十九天礦工即將重見天日。智利三十三名礦工受困地底六十九天，今天終於要展開脫困營救，不過為了確保過程沒有意外，救難人員再三進行測試，救生艙進入坑底的時間，也因此耽擱了兩個小時。,受困六十九工礦工咧欲重見天日。智利三十三名礦工受困塗跤底六十九工，今仔日總算欲展開脫困閒救，毋過為著確保過程無意外，救難人員再三進行測試，救生穿進入坑底的時間，⿳⿳ㄨㄢˊ也因此延延了兩點鐘。,siū-khùn la̍k-tsa̍p-káu-kang khòng-kang tih-beh tîng-kiàn-thian-ji̍t. tì-lī sann-tsa̍p-sann-miâ khòng-kang siū-khùn thôo-kha-té la̍k-tsa̍p-káu-kang，kin-á-ji̍t tsóng-sǹg-beh thián-khui thuat-khùn îng-kiù，m̄-koh uī-tio̍h khak-pó kuè-tîng bô-ì-guā，kiù-lān-jîn-uân tsài-sann-tsìn-hîng tshik-tshì，kiù-sing-tshng tsìn-ji̍p khenn-tué-ê sî-kan，uân-ā-in-tshú iân-tshiân-liáu nn̄g-tiám-tsing。
目前只等待醫護小組先下到坑底，協助礦工做好準備以後，第一批身心狀況最好的礦工就可以拉上來，整個吊救過程，平均一個人大約要花一個半小時，現場也有一千五百多名世界各國記者，等著捕捉這個歷史性的一刻。,目前止聽候醫護小組先落到坑底，協助礦工做好準備以後，第一批身心狀況上好的礦工都會使搝起來，規个吊救過程，平均一个人大約愛開一點半舂，現場⿳⿳ㄨㄢˊ也有一千五百外名世界各國記者，聽著掠這个歷史性的一刻。,bo̍k-tsîng tsí-thìng-hāu i-hōo-sió-tsoo sing-lo̍h-kàu khenn-tué，hia̍p-tsōo khòng-kang tsò-hó-tsún-pī í-āu，tē-it-phue sin-sim-tsōng-hóng siāng-hó-ê khòng-kang to-ē-sái giú-khí-lâi，kui-ê tiàu-kiù-kuè-tîng，pîng-kin tsi̍t-ê-lâng tāi-iok-ài-khai tsi̍t-tiám-puànn-tsing，hiān-tiûnn uân-ā-ū tsi̍t-tshing-gōo-pah-guā-miâ sè-kài-kok-kok kì-tsiá，thìng-tio̍h lia̍h-tsit-ê li̍k-sú-sìng-ê tsi̍t-khik。
南瀛國際民俗藝藝術節飽覽十二國文化。南瀛國際民俗藝術節今天在台南縣開幕，來自十二個不同國家的音樂、舞蹈跟服裝的文化特色，讓人不用出國，一次就可以看個夠。,男贏國際民俗藝術節飽攬十二國文化。男贏國際民俗藝術節今仔日佇臺南縣開幕，來自十二个無仝國家的音樂、舞蹈佮服裝的文化特色，予人毋免出國，一擺都會使看予到。,lâm-iânn kok-tsè-bîn-sio̍k-gē-su̍t-tsiat páu-lám tsa̍p-jī-kok bûn-huà. lâm-iânn kok-tsè-bîn-sio̍k-gē-su̍t-tsiat kin-á-ji̍t-tī tâi-lâm-kuān khai-bōo，lâi-tsū tsa̍p-jī-ê bô-kâng-kok-ka-ê im-ga̍k、bú-tō kap ho̍k-tsong-ê bûn-huà-ti̍k-sik，hōo-lâng m̄-bián-tshut-kok，tsi̍t-pái to-ē-sái khuànn-hōo-kàu。
在燈光特效的陪襯下，台南縣南瀛國際民俗藝術節一開幕，就讓人視覺大感震撼，藝陣、夜光龍，展現的是台灣多元文化，來自印度的武藝團，比利時的旗隊，還有波蘭的傳統舞蹈，總共來自十二個國家的藝術盛會。,佇燈光特效的伴彈下，臺南縣男贏國際民俗藝術節一開幕，都予人視覺大震撼，藝陣、夜光龍，展現的是臺灣多元文化，來自印度的武藝團，比利時的旗隊，猶有波蘭的傳統舞蹈，攏總來自十二个國家的藝術盛會。,tī ting-kng ti̍k-hāu-ê phuānn-tuânn-hā，tâi-lâm-kuān lâm-iânn kok-tsè-bîn-sio̍k-gē-su̍t-tsiat tsi̍t-khai-bōo，to-hōo-lâng sī-kak tuā-tsìn-hām，gē-tīn、iā-kng-lîng，tián-hiān-ê-sī tâi-uân to-guân-bûn-huà，lâi-tsū ìn-tōo-ê bú-gē-thuân，pí-lī-sî-ê kî-tuī，iáu-ū pho-lân-ê thuân-thóng-bú-tō，lóng-tsóng lâi-tsū tsa̍p-jī-ê kok-ka-ê gē-su̍t-sīng-huē。
這也是最後一次以台南縣的名義，舉辦的國際性南瀛民俗藝術節，要交棒的台南縣長蘇煥智希望文化活動能夠繼續傳承。,職員也是上尾一擺用臺南縣的名義，舉辦的國際性男贏民俗藝術節，欲交棒的臺南縣長蘇煥智希望文化活動會通繼續傳承。,tsit-uân-ā-sī siāng-bué-tsi̍t-pái īng tâi-lâm-kuān-ê miâ-gī，kú-pān-ê kok-tsè-sìng lâm-iânn-bîn-sio̍k-gē-su̍t-tsiat，beh-kau-pāng-ê tâi-lâm-kuān-tiúnn soo-huàn-tì hi-bāng bûn-huà-ua̍h-tōng ē-thang kè-sio̍k thuân-sîng。
