台文,台羅,中文
你做彼是咧了戇工。,Lí tsò he sī teh liáu gōng-kang.,你做那個是白做的。
竹仔愛略仔烘一下，才有法度鬱拗。,"Tik-á ài lio̍h-á hang--tsi̍t-ē, tsiah ū huat-tōo ut-áu.",竹子要稍微用火燒烤一下，才有辦法揉彎。
伊硬欲鬱拗我。,I ngē beh ut-áu--guá. ,他硬是要誣賴我。
六月天火燒埔，規日攏誠鬱熱。,"La̍k-gue̍h-thinn hué-sio-poo, kui-ji̍t lóng tsiânn ut-jua̍h. ",農曆六月的天氣就像火燒山，整天都很悶熱。
最近咧落𤺪雨，衫仔褲披較久都袂焦。,"Tsuè-kīn teh lo̍h siān-hōo, sann-á-khòo phi khah kú to bē ta. ",最近霪雨不停，衣褲晾再久也不乾。
祭拜愛會記得𫝏錢。,Tsè-pài ài ē kì-tit gàn-tsînn. ,祭拜要記得奠酒。
老人驚跋倒，毋好𬦰山崎。,"Lāu lâng kiann pua̍h-tó, m̄-hó peh suann-kiā. ",老人家怕跌倒，不能爬山坡。
伊的車門予人挵一㧌。,I ê tshia-mn̂g hōo lâng lòng tsi̍t mau. ,他的車門被撞了個凹陷。
一人才分一疕仔，連楔喙齒縫都無夠。,"Tsi̍t lâng tsiah pun tsi̍t-phí-á, liân seh tshuì-khí-phāng to bô-kàu. ",一人才分得一點點，連塞牙縫都不夠。
你莫看伊人一疕仔囝，伊力頭真飽喔！,"Lí mài khuànn i lâng tsi̍t-phí-á kiánn, i la̍t-thâu tsin pá--ooh! ",你別看他是個小不點，他力氣可大著！
這个師傅的寸步，逐過攏嘛做甲一必一中。,"Tsit ê sai-hū ê tshùn-pōo, ta̍k-kuè lóng mā tsò kah it-pit-it-tiòng. ",這個師傅的尺寸，每次都做得非常精準。
咱七月半普渡彼工，菜碗著攢較腥臊咧，來拜好兄弟仔。,"Lán Tshit-gue̍h-puànn phóo-tōo hit kang, tshài-uánn tio̍h tshuân khah tshenn-tshau--leh, lâi pài hó-hiann-tī-á. ",咱們中元普渡那天，供品得準備豐盛點，來祭拜好兄弟。
拚暝工，七晏八晏才去睏。,"Piànn mê-kang, tshit-uànn-peh-uànn tsiah khì khùn. ",趕夜工，很晚才去睡覺。
人額有夠，才會用得買團體票。,"Lâng-gia̍h ū-kàu, tsiah ē-īng-tit bé thuân-thé-phiò. ",人數足夠，才可以買團體票。
咱遮有八个人，遐的物件才五人額，猶無夠三个人額。,"Lán tsia ū peh ê lâng, hia-ê mi̍h-kiānn tsiah gōo lâng-gia̍h, iáu bô-kàu sann ê lâng-gia̍h. ",咱們這兒有八個人，那些東西才五人份，還不夠三人份。
伊生做人懸漢大，氣力飽，夯的貨自然比人較濟。,"I senn-tsò lâng-kuân-hàn-tuā, khuì-la̍t pá, giâ ê huè tsū-jiân pí lâng khah tsē. ",他人高馬大，力氣十足，扛的貨自然比別人還多。
拜託伊做代誌，伊攏做甲真入心。,"Pài-thok i tsò tāi-tsì, i lóng tsò kah tsin ji̍p-sim. ",拜託他做事，他都做得很用心。
疼人，著愛疼入心。,"Thiànn--lâng, tio̍h-ài thiànn ji̍p-sim. ",疼惜人家，就要真心疼愛。
教示的話伊攏會記入心。,Kà-sī ê uē i lóng ē kì ji̍p-sim. ,訓示的話他都聽得進去。
攑刀的時愛攑刀柄，毋通去捎刀鋩。,"Gia̍h to ê sî ài gia̍h to-pènn, m̄-thang khì sa to-mê. ",拿刀的時候要拿刀柄，不要拿刀刃。
伊力草真飽，工課做規工嘛袂忝。,"I la̍t-tsháu tsin pá, khang-khuè tsò kui-kang mā bē thiám. ",他精體力充沛，工作一整天也不累。
彼箍行路使三角六肩，袂輸𨑨迌人。,"Hit-khoo kiânn-lōo sái sann-kak-la̍k-king, bē-su tshit-thô-lâng. ",那傢伙走路大搖大擺的，就像黑道中人。
報名到昨昏是上尾工，今仔日才欲報就袂赴矣。,"Pò-miâ kàu tsa-hng sī siōng-bué kang, kin-á-ji̍t tsiah beh pò tō bē-hù--ah. ",報名到昨天是最後一天，今天才要報名就來不及了。
上尾名,siōng-bué miâ,最後一名
這个囡仔誠袂上教，較教都教袂曉。,"Tsit ê gín-á tsiânn bē tsiūnn-kà, khah kà to kà bē-hiáu. ",這個孩子很不受教，怎麼教都教不會。
這尾魚仔上無有三斤重。,Tsit bué hî-á siōng-bô ū sann kin tāng. ,這條魚至少有三斤重。
我轉來欲攢下晝頓，行入灶跤就看著大漢查某囝當咧煮矣。,"Guá tńg-lâi beh tshuân ē-tàu-tǹg, kiânn ji̍p tsàu-kha tō khuànn-tio̍h tuā-hàn tsa-bóo-kiánn tng-teh tsú--ah. ",我回來要做午飯，走進廚房就看到大女兒正在煮了。
久年的心願,kú-nî ê sim-guān,多年的心願
這久年症頭矣，著愛耐心治療，沓沓仔調養，才會見效。,"Tse kú-nî tsìng-thâu--ah, tio̍h-ài nāi-sim tī-liâu, ta̍uh-ta̍uh-á tiâu-ióng, tsiah ē kiàn-hāu. ",這是老毛病了，得要耐心治療，慢慢調養，才會見效。
大人大種矣，著較會曉想咧，毋通閣予序大人操煩。,"Tuā-lâng-tuā-tsíng--ah, tio̍h khah ē-hiáu siūnn--leh, m̄-thang koh hōo sī-tuā-lâng tshau-huân. ",老大不小了，想法得要成熟一點，不要再讓父母操心。
大人大種矣，磕袂著就起跤動手，有夠卸世眾！,"Tuā-lâng-tuā-tsíng--ah, kha̍p-bē-tio̍h tō khí-kha-tāng-tshiú, ū-kàu sià-sì-tsìng. ",都是大人了，動不動就拳腳相向，非常丟人現眼。
風颱過了後，欲去抾大水柴著愛遵守法規。,"Hong-thai kuè liáu-āu, beh khì khioh tuā-tsuí-tshâ tio̍h-ài tsun-siú huat-kui. ",颱風過後，要去撿漂流木得要遵守法規。
舊曆十二月，芥菜大出。,"Kū-li̍k tsa̍p-jī--gue̍h, kuà-tshài tuā-tshut. ",農曆十二月，芥菜盛產。
果子大出的時上好食，價數閣俗。,"Kué-tsí tuā-tshut ê sî siōng hó-tsia̍h, kè-siàu koh sio̍k. ",水果類盛產時最好吃，價格又便宜。
伊逐改送禮，攏是大出手，毋是大鮑魚就是高麗參。,"I ta̍k-kái sàng-lé, lóng sī tuā-tshut-tshiú, m̄-sī tuā pau-hî tō sī ko-lê-sim. ",他每次送禮，總是出手大方，不是大鮑魚就是人參。
我感覺做人毋通傷大目孔。,Guá kám-kak tsò-lâng m̄-thang siunn tuā-ba̍k-khóng. ,我覺得做人不要太勢利眼。
大百錢,tuā-pah tsînn,大筆錢、大把鈔票
燒大百金,sio tuā-pah kim,燒很多金銀紙
錢大百，人落肉。,"Tsînn tuā-pah, lâng lo̍h-bah. ",俗語，為了賺大錢，導致人面黃肌瘦。
大百的,tuā-pah--ê,大鈔
𪜶兜是大家口，三頓煮食攏用大灶。,"In tau sī tuā-ke-kháu, sann-tǹg tsú-tsia̍h lóng īng tuā-tsàu. ",他家是個大家庭，三餐的烹調都用大灶。
你大身大命，出入行踏愛細膩喔！,"Lí tuā-sin-tuā-miā, tshut-ji̍p kiânn-ta̍h ài sè-jī--ooh! ",你身懷六甲，出入走路行動要小心喔！
看著𪜶有身的新婦佇咧摒掃，阿婆就會喝講：「大身大命喔！我來就好。」,"Khuànn-tio̍h in ū-sin ê sin-pū tī-leh piànn-sàu, a-pô tō ē huah kóng, ""Tuā-sin-tuā-miā--ooh! Guá lâi tō hó."" ",看到她懷孕的媳婦在打掃，阿婆就會說：「一身二命喔！我來就好。」
做彼款生理，毋是趁大錢，就是了大注。,"Tsò hit khuán sing-lí, m̄ sī thàn tuā-tsînn, tō sī liáu tuā-tù. ",做那種生意，不是賺大錢，就是賠大錢。
看兩个大肥相偃，實在真古錐，尻川䫌予人看現現。,"Khuànn nn̄g ê tuā-puî sio-ián, si̍t-tsāi tsin kóo-tsui, kha-tshng-phué hōo lâng khuànn-hiān-hiān. ",看兩個肥胖的人在相撲，實在很可愛，屁股肉讓人看得一清二楚。
以前的人對屎礐仔舀屎尿起來，囥予伊發酵過，變做大肥，就聽好沃菜。,"Í-tsîng ê lâng tuì sái-ha̍k-á iúnn sái-jiō khí--lâi, khǹg hōo i huat-kànn--kuè, piàn-tsò tuā-puî, tō thìng-hó ak-tshài. ",以前的人從糞坑舀屎糞上來，放著讓它發酵後，成為糞肥，就可以澆菜。
我這陣拄好無散票，大張的予你找敢好？,"Guá tsit-tsūn tú-hó bô suánn-phiò, tuā-tiunn--ê hōo lí tsāu kám hó? ",我這會兒剛好沒有小鈔，大鈔讓你找錢好嗎？
咱明仔早起招恁大細腎來去𬦰山。,Lán bîn-á-tsá-khí tsio lín tuā-sè-siān lâi-khì peh-suann. ,我們明天早上邀你連襟一起去爬山。
伊是大漢囝，愛照顧小弟、小妹。,"I sī tuā-hàn-kiánn, ài tsiàu-kòo sió-tī, sió-muē. ",他是長子，得要照顧弟弟、妹妹。
你開毋著向矣啦！緊大翻頭斡倒轉來。,Lí khui m̄-tio̍h hiòng--ah--lah! Kín tuā-huan-thâu uat tò-tńg--lâi. ,你開錯方向了，趕快大回轉開回頭來。
頭前地場較闊，你車開去遐大翻頭，按呢較好轉踅。,"Thâu-tsîng tē-tiûnn khah khuah, lí tshia khui khì hia tuā-huan-thâu, án-ne khah hó tńg-se̍h. ",前面場地較寬敞，你車子開去那邊大回轉，這樣比較方便轉回頭。
囡仔咧睏晝，你毋通遐爾大嚨喉空。,"Gín-á teh khùn-tàu, lí m̄-thang hiah-nī tuā-nâ-âu-khang. ",孩子在睡午覺，你別那麼大嗓門。
伊是咱遮出名的大嚨喉空，遠遠就會當聽著伊講話的聲矣。,"I sī lán tsia tshut-miâ ê tuā-nâ-âu-khang, hn̄g-hn̄g tō ē-tàng thiann-tio̍h i kóng-uē ê siann--ah. ",他是我們這裡出了名的大嗓門，遠遠地就可以聽到他的聲音了。
伊的成績佇𪜶彼班干焦算中中仔爾爾。,I ê sîng-tsik tī in hit pan kan-na sǹg tiong-tiong--á niā-niā. ,他的成績在班上只能算中等而已。
阿爸的身材中範中範，看起來袂肥嘛無偌瘦。,"A-pah ê sin-tsâi tiong-pān-tiong-pān, khuànn--khí-lâi bē puî mā bô guā sán. ",父親的身材中等，看起來不肥也不太瘦。
作穡人將採收了的荷蘭豆分做三級：䆀的、中範的、媠的。,"Tsoh-sit-lâng tsiong tshái-siu liáu ê Huê-liân-tāu hun-tsò sann kip: bái--ê, tiong-pān--ê, suí--ê. ",農人將採收完的豌豆分成三級：品相不佳的、中等的、優良的。
教囡仔行五子直，會當提升𪜶的智力。,"Kà gín-á kiânn gōo-jí-ti̍t, ē-tàng thê-sing in ê tì-li̍k. ",教孩子下五子棋，可以提升他們的智力。
這擔的炒塗豆，逐粒都仁仁仁。,"Tsit tànn ê tshá thôo-tāu, ta̍k lia̍p to jîn-jîn-jîn. ",這一攤的炒花生，每一顆都非常飽滿。
伊有咧練走標，跤肚肉仁仁仁。,"I ū teh liān tsáu-pio, kha-tóo-bah jîn-jîn-jîn. ",他有在練跑步，小腿肚的肌肉非常結實。
這本諺語集所收的臺灣話，逐句都仁仁仁。,"Tsit pún gān-gí-tsi̍p sóo siu ê Tâi-uân-uē, ta̍k kù to jîn-jîn-jîn. ",這本諺語集所收的臺灣話，每一句都是精挑細選的。
粗糠還粗糠，冇粟還冇粟。,"Tshoo-khng huān tshoo-khng, phànn-tshik huān phànn-tshik. ",稻穀的外殼歸稻穀的外殼，糠秕歸糠秕，不能混在一起。俗語，比喻兩類事物不可混為一談。
冇粟收入好米籮。,Phànn-tshik siu ji̍p hó bí-luâ. ,糠秕收進好的籮筐裡。俗語，比喻無能者佔據好職位。
大風吹冇粟。,Tuā-hong tshue phànn-tshik. ,俗語，比喻傳染病流行時，體弱的人容易被感染。
伊進前都已經認罪矣，這馬煞來反口供。,"I tsìn-tsîng to í-king jīn-tsuē--ah, tsit-má suah lâi huán-kháu-king. ",他之前都已經認罪了，現在卻來翻供。
塗面快收成，人面快反形。,"Thôo-bīn khuài siu-sîng, lâng-bīn khuài huán-hîng. ",在土地耕種容易收成；看人的臉色，容易遭人背棄。俗語，努力耕耘，才有收穫；看人臉色，不易過活。
伊最近咧反形，加真荏懶。,"I tsuè-kīn teh huán-hîng, ke tsin lám-nuā. ",他最近一反常態，變得很懶惰。
茄仔開黃花──反種。,Kiô-á khui n̂g-hue──huán-tsíng. ,茄子一般都開紫色的花，開黃花的就是變種。歇後語，形容違反常態。
這馬的臺灣囡仔袂曉講母語，毋是𪜶反種去矣，是𪜶的爸母毋肯對𪜶講母語。,"Tsit-má ê Tâi-uân gín-á bē-hiáu kóng bú-gí, m̄ sī in huán-tsíng--khì--ah, sī in ê pē-bú m̄-khíng tuì in kóng bú-gí. ",現在臺灣的小孩子不會說母語，不是他們發生了突變，而是他們的父母不肯對他們說母語。
反種的人較巧。,Huán-tsíng ê lâng khah khiáu. ,混血的人比較聰明。
拄著困難，若袂曉反變，就踅袂過。,"Tú-tio̍h khùn-lân, nā bē-hiáu píng-pìnn, tō se̍h bē kuè. ",碰到困難，如果不會應變，就轉圜不過來。
近來制度不時咧反變。,Kīn-lâi tsè-tōo put-sî teh píng-pìnn. ,近來制度經常進行重大的改變。
欠錢還數是天公地道的代誌。,Khiàm-tsînn hîng-siàu sī thinn-kong-tē-tō ê tāi-tsì. ,欠債還錢是天經地義的事情。
初九天公生，咱做伙求天公伯仔保庇咱一家口仔平安順序。,"Tshe-káu Thinn-kong-senn, lán tsò-hué kiû Thinn-kong-peh--á pó-pì lán tsi̍t ke-kháu-á pîng-an sūn-sī. ",初九天老爺老天爺誕辰公生，我們一起求老天爺保佑一家大小平安順利。
天平飽滇,thian-pîng pá-tīnn,天庭飽滿，是相學上的多福之相。
男天平，女下顎。,"Lâm thian-pîng, lú ē-kok.",俗語，男人以額頭飽滿，女人以下顎豐滿為福相。
少年人愛較拍拚咧，才袂食老毋成樣。,"Siàu-liân-lâng ài khah phah-piànn--leh, tsiah bē tsia̍h-lāu m̄-tsiânn-iūnn. ",年輕人得要努力一點，年老時才不會不成個樣子。
老師共我講：「你猶少歲，日子猶誠長，前途著拍算一下。」,"Lāu-su kā guá kóng, ""Lí iáu tsió-huè, ji̍t-tsí iáu tsiânn tn̂g, tsiân-tôo tio̍h phah-sǹg--tsi̍t-ē."" ",老師跟我說：「你還年輕，日子還很長，該為前途打算一下。」
學工夫，若有人引𤆬，較緊學上手。,"O̍h kang-hu, nā ū lâng ín-tshuā, khah kín o̍h tsiūnn-tshiú. ",學習技藝，如果有人引導，比較快熟練。
伊心狂火熱，趕欲赴銀行三點半。,"I sim-kông-hué-jia̍t, kuánn beh hù gîn-hâng sann-tiám-puànn. ",他心急如焚，要趕銀行三點半。
伊簽六合彩，痟甲心狂火熱。,"I tshiam lio̍k-ha̍p-tshái, siáu kah sim-kông-hué-jia̍t. ",他簽賭六合彩，瘋狂到不能自已。
伊聽甲心花開，隨就笑咍咍。,"I thiann kah sim-hue-khui, suî tō tshiò-hai-hai. ",他聽得心花怒放，馬上就哈哈笑。
頭家今仔日心花開，講年底獎金欲發三個月。,"Thâu-ke kin-á-ji̍t sim-hue-khui, kóng nî-té tsióng-kim beh huat sann kò gue̍h. ",老闆今天心情大好，說年終獎金要發三個月份。
伊拄失戀，逐工攏心慒慒。," I tú sit-luân, ta̍k-kang lóng sim tso-tso. ",他剛失戀，每天都心煩意亂鬱鬱寡歡。
這个人手爪賤，咱物件愛較斟酌咧。,"Tsit ê lâng tshiú-jiáu-tsiān, lán mi̍h-kiānn ài khah tsim-tsiok--leh. ",這個人手腳不乾淨，我們東西要多加注意。
伊的手股頭有刺字，穿吊䘥仔就看現現。,"I ê tshiú-kóo-thâu ū tshiah-jī, tshīng tiàu-kah-á tō khuànn-hiān-hiān. ",他的上手臂有刺青，穿無袖內衣就看得清清楚楚。
伊用手後曲共我㧎撞一下，暗示我伊欲先離開一下。,"I īng tshiú-āu-khiau kā guá khê tōng--tsi̍t-ē, àm-sī guá i beh sing lī-khui--tsi̍t-ē. ",他用手肘碰我一下，暗示我他要先離開一下。
手面趁食的,tshiú-bīn thàn-tsia̍h--ê,勞動者
阮出外人手面趁食，逐日著做粗工來度三頓。,"Guán tshut-guā-lâng tshiú-bīn thàn-tsia̍h, ta̍k-ji̍t tio̍h tsò tshoo-kang lâi tōo sann-tǹg. ",我們出外人靠勞力賺錢，每天得要幹粗活來糊口。
咱是手面趁食的，哪有彼號冗剩錢通出國觀光。,"Lán sī tshiú-bīn-thàn-tsia̍h--ê, ná ū hit-lō liōng-siōng tsînn thang tshut-kok kuan-kong? ",咱們是微薄收入僅夠糊口，哪有那種閒錢出國觀光呢？
看展覽的時，千萬莫手賤去摸展覽品。,"Khuànn tián-lám ê sî, tshian-bān mài tshiú-tsiān khì bong tián-lám-phín. ",看展覽時，千萬別手癢去摸展覽品。
伊講白賊，予𪜶老爸拍手蹄仔。,"I kóng-pe̍h-tsha̍t, hōo in lāu-pē phah tshiú-tê-á. ",他說謊，被他爸爸打手心。
伊手蹄仔真賤。,I tshiú-tê-á tsin tsiān. ,他管不住手腳就愛摸東摸西。有時也指他有順手牽羊的惡癖。
相命仙共伊看手相講：「手縫櫳，財產空，隨趁隨空空。」,"Siòng-miā-sian kā i khuànn tshiú-siòng kóng, ""Tshiú-phāng lang, tsâi-sán khang, suî thàn suî khang-khang."" ",算命先生看了他的手相後說：「手指間縫隙大，財產空，馬上賺馬上空。」
月圍箍，曝草埔。,"Gue̍h uî-khoo, pha̍k tsháu-poo. ",月暈出現，烈日會曝曬草坪，必有大旱。這是傳統俗諺，不是科學事實。
真濟人相信烏鴉咧吼表示歹吉兆。,Tsin tsē lâng siong-sìn oo-a leh háu piáu-sī pháinn-kiat-tiāu. ,很多人相信烏鴉在啼叫表示凶兆。
透早就聽著遮爾歹吉兆的話，實在有夠衰。,"Thàu-tsá tō thiann-tio̍h tsiah-nī pháinn-kiat-tiāu ê uē, si̍t-tsāi ū-kàu sue. ",一大早就聽到這麼不吉利的話，實在很倒楣。
三更半暝走去墓仔埔，你敢毋驚去看著歹物仔？,"Sann-kenn-puànn-mê tsáu khì bōng-á-poo, lí kám m̄-kiann khì khuànn-tio̍h pháinn-mih-á? ",三更半夜跑到墓園墳場去，你難道不怕看到鬼嗎？
醫生檢查出伊腹肚內有生歹物仔。,I-sing kiám-tsa tshut i pak-tóo-lāi ū senn pháinn-mih-á. ,醫生檢查出他肚子裡長了惡性腫瘤。
伊無因為我生做較歹看面就棄嫌我。,I bô in-uī guá senn-tsò khah pháinn-khuànn-bīn tō khì-hiâm--guá. ,他不因為我長得較難看就嫌棄我。
人講「輸人毋輸陣，輸陣歹看面」，咱著愛較拍拚咧。,"Lâng kóng ""Su lâng m̄ su tīn, su tīn pháinn-khuànn-bīn"", lán tio̍h-ài khah phah-piànn--leh. ",人家俗話說「輸給某人無所謂，別排在最後，在最後一名就太難看了」，我們就得要努力點。
起歹面,khí pháinn-bīn,發怒、翻臉
歹面相看,pháinn-bīn sio-khuànn,惡臉相向
歹面好交關。,Pháinn-bīn hó kau-kuan.,面相雖不友善卻容易達成買賣。面惡心善，熟語。比喻外貌不和善卻很好相處。
官司沓沓仔歹面。,Kuann-si ta̍uh-ta̍uh-á pháinn-bīn.,訴訟的形勢漸不樂觀。
人情留一線，日後才袂歹面相看。,"Jîn-tsîng lâu tsi̍t suànn, ji̍t-āu tsiah bē pháinn-bīn-sio-khuànn. ",人情留一線，改天才不會惡臉相向。
𪜶兩个門扇枋鬥袂峇，見擺見面攏歹面相看。,"In nn̄g-ê mn̂g-sìnn-pang tàu bē bā, kiàn-pái kìnn-bīn lóng pháinn-bīn-sio-khuànn. ",他們倆個性不合，每次見面都惡臉相向。
棉紗浸水就歹紡。,Mî-se tsìm tsuí tō pháinn-pháng. ,棉紗浸到水就很難紡織。
代誌愈來愈歹紡。,Tāi-tsì jú lâi jú pháinn-pháng. ,事情越來越棘手。
作穡人生活無好過，豐收的時農產品歹價，歹年冬閣收無通食。,"Tsoh-sit-lâng sing-ua̍h bô hó kuè, hong-siu ê sî lông-sán-phín pháinn-kè, pháinn-nî-tang koh siu bô thang tsia̍h. ",農民生活不好過，豐收時農產品賤價，欠收時又入不敷出。
這个囡仔歹喙斗，真揀食，飼甲強欲變毋成囡仔。,"Tsit ê gín-á pháinn-tshuì-táu, tsin kíng-tsia̍h, tshī kah kiōng-beh piàn m̄-tsiânn-gín-á. ",這個小孩胃口不好，很挑食，養得快要變成發育不良的小孩了。
你這个毋成囡仔，食飽取跋筊，枉費恁爸母共你晟養甲遮大漢。,"Lí tsit ê m̄-tsiânn-gín-á, tsia̍h-pá tshú pua̍h-kiáu, óng-huì lín pē-bú kā lí tshiânn-ióng kah tsiah tuā-hàn. ",你這個小混混，吃飽只會賭博，枉費你父母把你養育得這麼大。
公證人看水尺來計算貨船的載貨量。,Kong-tsìng-jîn khuànn tsuí-tshioh lâi kè-sǹg huè-tsûn ê tsài-huè liōng. ,公證人看水尺來計算貨船的載貨量。
發水泱,puh tsuí-iann,冒出起漣漪
這馬咱攏無咧納水租矣，攏嘛政府替咱納的。,"Tsit-má lán lóng bô teh la̍p tsuí-tsoo--ah, lóng mā tsìng-hú thè lán la̍p--ê. ",現在我們都不用繳水利會費，都是政府代繳的。
納水租,la̍p tsuí-tsoo,繳納水利會費。也用來戲稱在外時去公廁或借用人家的廁所小便
咱兄弟姊妹就像仝一條水脈流出來的啦。,Lán hiann-tī-tsí-muē tō tshiūnn kāng tsi̍t tiâu tsuí-me̍h lâu--tshut-lâi--ê--lah. ,我們兄弟姊妹就像同一條水系流出來的一樣。
水碓無糙米。,Tsuí-tuì bô tshò-bí. ,稻穀用水碓碾過，變成白米，不會留下糙米。俗語，比喻做事精密的人不會疏忽。
水牛上愛佇水窟仔滒浴。,Tsuí-gû siōng ài tī tsuí-khut-á kō-i̍k. ,水牛最愛在水坑裡打滾洗澡。
車囥佇外口，落雨了後煞卡一沿水鉎。,"Tshia khǹg tī guā-kháu, lo̍h-hōo liáu-āu suah kha̍h tsi̍t iân tsuí-sian. ",車子放外面，下雨之後卻卡積了一層水垢。
火母欲熄去囉！,Hué-bó beh sit--khì--looh! ,火種快熄滅了。
等咧咱佇火車頭的前驛相等，做伙坐後一幫火車上北。,"Tán--leh lán tī hué-tshia-thâu ê tsîng-ia̍h sio-tán, tsò-hué tsē āu tsi̍t pang hué-tshia tsiūnn-pak. ",等一下我們在火車站的前站見，一起坐下一班火車北上。
熱天暗時佇山頂看火金星閃閃爍爍的光景是一款享受。,Jua̍h-thinn àm-sî tī suann-tíng khuànn hué-kim-tshenn siám-siám-sih-sih ê kong-kíng sī tsi̍t khuán hiáng-siū. ,夏天夜晚在山上看螢火蟲一閃一閃的光景是一種享受。
兩條電線相拍電，出火金星。,"Nn̄g-tiâu tiān-suànn sio-phah-tiān, tshut hué-kim-tshenn. ",兩條電線發生短路，冒出火花。
我無細膩去跋一倒，目睭出火金星，差一屑仔就昏倒。,"Guá bô-sè-jī khì pua̍h tsi̍t tó, ba̍k-tsiu tshut hué-kim-tshenn, tsha tsi̍t-sut-á tō hūn--tó. ",我不小心摔了一跤，眼冒金星，差一點昏倒。
這个人是火烌性，較會得失人。,"Tsit ê lâng sī hué-hu-sìng, khah ē tik-sit--lâng. ",這個人是火暴性子，比較容易得罪人。
有貫牛貫的牛才會乖乖仔照主人的意思作穡。,Ū kǹg gû-kǹg ê gû tsiah ē kuai-kuai-á tsiàu tsú-lâng ê ì-sù tsoh-sit. ,有穿牛鼻環的牛才會乖乖地依主人的意思耕作。
我唱歌若牛聲馬喉，毋敢唱予人聽。,"Guá tshiùnn-kua ná gû-siann-bé-âu, m̄-kánn tshiùnn hōo lâng thiann. ",我唱歌破嗓子，不敢唱給別人聽。
你佇遐牛聲馬喉，有夠噪人耳，較細聲咧。,"Lí tī hia gû-siann-bé-âu, ū-kàu tshò-lâng-hīnn, khah sè-siann--leh. ",你在那邊大聲吆喝，非常刺耳，小聲點。
散會的時，阮有攢三、四百塊王梨酥，佇大門口送予人客。,"Suànn-huē ê sî, guán ū tshuân sann, sì-pah tè ông-lâi-soo, tī tuā mn̂g-kháu sàng hōo lâng-kheh. ",散會時，我們準備了三、四百塊鳳梨酥，在大門口送給客人。
咱店的生理，攏是主顧客鬥捀場，才有穩定的收入。,"Lán tiàm ê sing-lí lóng sī tsú-kòo-kheh tàu phâng-tiûnn, tsiah ū ún-tīng ê siu-ji̍p. ",我們店裡的生意，全靠主顧幫忙捧場，才有穩定的收入。
兄弟若仝心，烏塗變成金。,"Hiann-tī nā kāng-sim, oo-thôo piàn-sîng kim. ",兄弟如果同心，黑土變黃金。俗語，表示兄弟同心可以化腐朽為神奇。
咱兩个人差無幾歲，算起來是仝沿的。,"Lán nn̄g ê lâng tsha bô kuí huè, sǹg--khí-lâi sī kāng-iân--ê. ",咱們兩個人相差沒幾歲，算起來是同輩。
雖然我佮恁阿爸平歲，毋過論輩無論歲，咱算仝沿的，叫我阿兄就好。,"Sui-jiân guá kah lín a-pa pênn-huè, m̄-koh lūn puè bô lūn huè, lán sǹg kāng-iân--ê, kiò guá a-hiann tō hó. ",雖然我和你爸爸同年齡，但是論輩份不論年紀，咱們算同輩，叫我哥哥就好。
欲開學矣，咱等一下來去冊局買新的參考冊。,"Beh khai-ha̍k--ah, lán tán--tsi̍t-ē lâi-khì tsheh-kio̍k bé sin ê tsham-khó-tsheh. ",要開學了，我們等一下到書局買新的參考書。
若講著鵝肉冬粉料理，我就會流喙瀾。,"Nā kóng-tio̍h gô-bah tang-hún liāu-lí, guá tō ē lâu tshuì-nuā. ",若談到鵝肉冬粉料理，我就會流口水。
這口灶的囝孫仔，逐个都真出擢。,"Tsit kháu-tsàu ê kiánn-sun-á, ta̍k-ê to tsin tshut-tioh. ",這戶人家的子孫，每個都很傑出。
叫甲這號半丁袂做工課。,Kiò kah tsit-lō puànn-ting bē tsò khang-khuè. ,叫到這種不成材的人做不了事。
病一下煞半丁去。,Pēnn tsi̍t-ē suah puànn-ting--khì.,病一下竟然變成病夫了。
秦假仙是電視布袋戲內底出名的半奸忠。,Tsîn Ké-sian sī tiān-sī pòo-tē-hì lāi-té tshut-miâ ê puànn-kan-tiong. ,秦假仙是電視布袋戲裡面出名的騎牆派。
食甲半老老才開始學電腦。,Tsia̍h kah puànn-ló-lāu tsiah khai-sí o̍h tiān-náu. ,活到半老時才開始學電腦。
半遂的會行，臭耳的會聽。,"Puàn-suī--ê ē kiânn, tshàu-hīnn--ê ē thiann. ",半身不遂的會走路，耳聾的能聽到。俗語，比喻奇蹟也。
曷無咧半遂，著閣人扛！,"A̍h bô teh puàn-suī, tio̍h koh lâng kng! ",又不是無能，還得人家抬！
去倒一擺愛三點鐘久。,Khì-tò tsi̍t pái ài sann tiám-tsing kú. ,往返一趟要三個鐘頭久。
無做無代誌，若做毋好去倒害。,"Bô tsò bô tāi-tsì, nā tsò m̄ hó khì-tò hāi. ",沒做沒事，如果做不好反而糟糕。
拍折手骨去倒勇。,Phah-tsi̍h tshiú-kut khì-tò ióng. ,俗語，比喻愈挫愈勇。
伊做代誌足工夫，真可取。,"I tsò tāi-tsì tsiok kang-hu, tsin khó-tshú. ",他做事情非常精密細膩，很值得讚許。
𪜶兩个若司公仔象桮咧。,In nn̄g ê ná sai-kong-á-siūnn-pue--leh. ,他們一個像道士，一個像筊杯，形影不離、感情深厚。
去外埠頭趁食，著較保重咧。,"Khì guā-poo-thâu thàn-tsia̍h, tio̍h khah pó-tiōng--leh. ",到外地謀生，要多保重身體。
好央倩,hó iang-tshiànn,立即應允並完成別人的請託
選舉的時，逐个候選人都講伊上好央教的。,"Suán-kí ê sî, ta̍k ê hāu-suán-jîn to kóng i siōng hó iang-kah--ê. ",選舉時，每個候選人都說他最能受託辦事的。
